Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,869.00,869.00,846.40,850.50,1789300,850.50
2017-04-04,866.25,866.25,866.25,866.25,000,866.25
2017-04-03,874.10,878.25,858.50,866.25,937300,866.25
2017-03-31,884.00,890.15,867.00,874.75,2157200,874.75
2017-03-30,870.00,881.70,865.05,875.85,1463700,875.85
2017-03-29,865.40,879.50,859.60,877.60,2121200,877.60
2017-03-28,855.55,870.75,852.15,859.90,898100,859.90
2017-03-27,868.00,873.20,847.05,852.15,1176900,852.15
2017-03-24,872.30,876.50,871.15,873.05,875500,873.05
2017-03-23,871.05,880.00,868.95,876.65,1424100,876.65
2017-03-22,850.70,874.70,848.50,872.75,1682100,872.75
2017-03-21,865.00,874.40,851.95,859.30,3683200,859.30
2017-03-20,871.95,879.00,861.15,864.35,1696400,864.35
2017-03-17,857.25,871.00,853.00,865.75,1993500,865.75
2017-03-16,860.80,863.90,849.60,855.40,1845200,855.40
2017-03-15,850.50,855.90,837.25,842.90,1239200,842.90
2017-03-14,865.00,865.00,850.00,853.60,1585800,853.60
2017-03-13,846.35,846.35,846.35,846.35,000,846.35
2017-03-10,849.35,858.00,840.90,846.35,706300,846.35
2017-03-09,854.00,854.00,842.35,844.35,766900,844.35
2017-03-08,857.00,858.00,844.25,847.70,729200,847.70
2017-03-07,861.70,861.70,852.20,857.35,747000,857.35
2017-03-06,850.70,867.70,846.10,855.55,1542300,855.55
2017-03-03,844.00,854.80,835.15,852.90,856200,852.90
2017-03-02,850.00,853.50,839.30,843.75,867800,843.75
2017-03-01,843.00,851.00,839.55,849.10,1096800,849.10
2017-02-28,844.00,846.00,835.85,840.10,1143000,840.10
2017-02-27,844.90,851.35,836.05,839.95,1192600,839.95
2017-02-24,842.85,842.85,842.85,842.85,000,842.85
2017-02-23,835.00,851.00,835.00,842.85,3388000,842.85
2017-02-22,852.30,865.00,830.55,834.20,1743600,834.20
2017-02-21,844.10,862.50,844.10,851.30,1537000,851.30
2017-02-20,842.00,847.00,837.25,844.00,665500,844.00
2017-02-17,850.00,850.00,831.10,839.25,1039800,839.25
2017-02-16,827.25,846.90,827.25,845.00,1720600,845.00
2017-02-15,832.00,838.60,822.60,830.30,997800,830.30
2017-02-14,829.20,834.45,824.50,832.00,1123200,832.00
2017-02-13,831.00,833.65,821.00,827.30,604600,827.30
2017-02-10,822.10,830.00,812.30,828.40,1775400,828.40
2017-02-09,810.95,822.30,802.05,819.70,1565100,819.70
2017-02-08,819.00,819.05,804.75,808.50,1412400,808.50
2017-02-07,824.00,827.70,812.00,815.70,1302500,815.70
2017-02-06,835.00,836.50,816.60,824.10,1092500,824.10
2017-02-03,825.00,835.70,816.85,830.75,1128500,830.75
2017-02-02,814.00,834.10,810.15,827.15,1880000,827.15
2017-02-01,805.00,819.50,778.65,813.95,4516600,813.95
2017-01-31,835.25,837.30,787.10,811.15,4822500,805.15
2017-01-30,831.10,842.40,828.10,840.25,949500,834.0348
2017-01-27,844.00,849.90,840.65,844.20,1349500,837.9556
2017-01-26,841.25,841.25,841.25,841.25,000,835.0274
2017-01-25,853.00,857.30,837.55,841.25,1927800,835.0274
2017-01-24,842.00,854.00,826.90,848.80,3695300,842.5215
2017-01-23,834.00,860.50,828.00,857.30,1984500,850.9586
2017-01-20,840.00,845.00,833.70,838.75,1109800,832.5459
2017-01-19,844.00,851.45,837.60,844.15,1056000,837.906
2017-01-18,837.50,845.55,836.25,844.05,1084300,837.8067
2017-01-17,827.00,843.50,827.00,837.75,2049600,831.5533
2017-01-16,847.90,847.90,826.80,830.55,1214600,824.4065
2017-01-13,850.20,857.95,838.60,850.25,2286900,843.9608
2017-01-12,830.05,849.90,830.05,847.70,1645200,841.4297
2017-01-11,839.50,844.50,826.75,833.25,1383000,827.0866
2017-01-10,842.70,844.00,834.50,837.85,1306900,831.6525
2017-01-09,806.50,840.15,805.95,838.30,1919700,832.0992
2017-01-06,835.00,840.30,806.75,814.40,2795700,808.376
2017-01-05,860.00,869.75,840.10,844.65,2078800,838.4023
2017-01-04,835.55,860.00,833.05,856.95,2116800,850.6113
2017-01-03,831.00,837.00,823.50,835.15,718500,828.9725
2017-01-02,823.00,834.00,822.30,828.50,421200,822.3717
2016-12-30,822.00,830.00,814.90,827.95,1025900,821.8258
2016-12-29,807.10,824.90,805.30,819.35,1780000,813.2893
2016-12-28,810.00,817.75,804.15,807.05,717200,801.0803
2016-12-27,788.90,809.90,787.00,804.85,505700,798.8966
2016-12-26,791.90,797.80,783.30,790.40,558500,784.5535
2016-12-23,816.00,816.00,791.00,793.75,1452600,787.8787
2016-12-22,818.30,822.90,806.00,817.10,791200,811.056
2016-12-21,835.00,836.80,816.30,820.80,1031800,814.7286
2016-12-20,825.00,834.15,824.35,830.15,1402200,824.0095
2016-12-19,820.60,826.90,815.00,824.70,1074000,818.5998
2016-12-16,835.80,835.80,815.20,820.60,1316400,814.5301
2016-12-15,822.00,840.00,822.00,832.15,2800800,825.9947
2016-12-14,806.10,824.30,796.25,820.80,1860500,814.7286
2016-12-13,801.05,803.90,791.20,800.95,938900,795.0255
2016-12-12,796.00,803.55,790.65,799.80,1505500,793.884
2016-12-09,797.00,805.90,783.25,803.30,1349700,797.3581
2016-12-08,789.00,797.00,783.00,794.85,1031800,788.9706
2016-12-07,786.70,789.10,771.10,785.35,810800,779.5408
2016-12-06,798.00,801.50,778.40,780.90,778800,775.1238
2016-12-05,789.55,801.45,782.20,793.40,753600,787.5313
2016-12-02,801.70,816.90,790.00,793.60,1051600,787.7298
2016-12-01,803.90,806.50,792.00,803.10,1256300,797.1595
2016-11-30,810.00,810.45,798.00,803.80,1531700,797.8544
2016-11-29,806.00,813.70,799.30,805.30,823600,799.3433
2016-11-28,806.00,811.15,790.35,806.05,1516500,800.0877
2016-11-25,771.95,812.00,770.05,801.95,2738600,796.0181
2016-11-24,765.00,772.65,753.00,767.80,2093700,762.1207
2016-11-23,763.00,768.70,756.45,763.45,900800,757.8029
2016-11-22,765.00,767.50,755.05,762.10,1031800,756.4628
2016-11-21,765.00,779.50,755.20,758.35,1077800,752.7406
2016-11-18,757.60,778.95,757.60,763.85,1841100,758.1999
2016-11-17,766.00,776.00,756.00,760.15,2688400,754.5273
2016-11-16,776.00,787.95,764.25,773.85,2281300,768.1259
2016-11-15,765.00,787.00,736.00,770.75,2628700,765.0489
2016-11-14,764.10,764.10,764.10,764.10,000,758.448
2016-11-11,784.85,793.00,755.00,764.10,2521700,758.448
2016-11-10,790.05,805.80,776.00,789.65,1822200,783.8091
2016-11-09,765.00,797.75,763.15,784.85,2648300,779.0445
2016-11-08,811.00,815.90,791.25,809.00,1257300,803.0159
2016-11-07,800.00,827.50,794.90,817.20,2993700,811.1553
2016-11-04,763.00,799.00,763.00,794.75,2841600,788.8713
2016-11-03,765.90,769.25,760.50,763.10,1203300,757.4554
2016-11-02,765.00,773.00,763.00,764.30,1027000,758.6466
2016-11-01,771.80,776.40,767.00,772.90,1098100,767.183
2016-10-31,763.15,763.15,763.15,763.15,000,757.5051
