Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,194.40,199.20,194.20,198.20,10440800,198.20
2017-04-04,193.60,193.60,193.60,193.60,000,193.60
2017-04-03,195.10,196.85,192.35,193.60,7198800,193.60
2017-03-31,190.80,195.95,190.50,195.05,13264600,195.05
2017-03-30,192.40,193.55,189.80,190.30,16296700,190.30
2017-03-29,190.60,193.15,189.60,192.25,9066400,192.25
2017-03-28,189.50,191.20,188.75,189.60,10087500,189.60
2017-03-27,193.95,194.55,187.60,188.70,16988400,188.70
2017-03-24,193.50,197.00,192.25,194.90,11748100,194.90
2017-03-23,194.40,195.20,192.70,193.70,10680500,193.70
2017-03-22,194.90,196.50,192.00,193.40,17762500,193.40
2017-03-21,196.00,199.80,193.25,198.30,8832700,198.30
2017-03-20,196.70,197.10,191.65,196.20,7107000,196.20
2017-03-17,200.00,200.35,194.65,196.20,12329300,196.20
2017-03-16,194.00,199.40,192.70,198.75,17634000,198.75
2017-03-15,192.40,192.90,190.05,190.85,11000100,190.85
2017-03-14,193.50,194.00,188.45,190.40,15425400,190.40
2017-03-13,187.60,187.60,187.60,187.60,000,187.60
2017-03-10,190.80,191.35,187.00,187.60,9745800,187.60
2017-03-09,191.00,192.00,187.80,189.20,11667400,189.20
2017-03-08,192.90,193.40,186.80,190.20,19426700,190.20
2017-03-07,199.35,199.35,191.60,192.55,17607800,192.55
2017-03-06,198.70,202.30,196.35,199.55,17600800,199.55
2017-03-03,188.45,199.75,187.95,198.55,31030500,198.55
2017-03-02,191.20,196.15,188.20,189.45,22934100,189.45
2017-03-01,185.15,192.00,184.60,189.25,19044700,189.25
2017-02-28,181.00,185.50,180.30,184.35,10009500,184.35
2017-02-27,182.35,183.15,179.20,180.75,7419900,180.75
2017-02-24,182.10,182.10,182.10,182.10,000,182.10
2017-02-23,179.80,183.50,179.30,182.10,11393300,182.10
2017-02-22,183.00,184.00,179.10,180.05,8976500,180.05
2017-02-21,183.35,186.90,181.80,182.45,13307100,182.45
2017-02-20,184.00,185.90,179.75,183.30,17874200,183.30
2017-02-17,187.95,189.30,183.00,183.65,9231400,183.65
2017-02-16,184.00,188.80,182.25,187.75,10429000,187.75
2017-02-15,187.10,189.95,182.05,184.45,11976000,184.45
2017-02-14,187.00,188.00,184.20,187.25,11938800,187.25
2017-02-13,184.50,187.90,181.60,185.00,17458600,185.00
2017-02-10,185.60,185.70,180.80,182.05,11598500,182.05
2017-02-09,189.95,190.25,181.95,183.70,13995900,183.70
2017-02-08,187.50,192.25,186.30,189.00,10372700,189.00
2017-02-07,190.70,192.95,184.05,185.90,10634800,185.90
2017-02-06,192.50,195.50,189.30,190.10,7376700,190.10
2017-02-03,194.00,195.40,188.25,191.75,11316500,191.75
2017-02-02,198.50,198.50,191.50,193.30,12723700,193.30
2017-02-01,190.90,200.00,186.55,198.85,12602800,198.85
2017-01-31,191.95,193.20,189.20,189.95,9510100,189.95
2017-01-30,190.05,195.30,186.95,191.50,12048500,191.50
2017-01-27,190.50,195.00,188.05,190.75,19584300,190.75
2017-01-26,190.75,190.75,190.75,190.75,000,190.75
