Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,286.50,286.50,282.90,284.85,9608600,284.85
2017-04-04,286.70,286.70,286.70,286.70,000,286.70
2017-04-03,278.80,287.40,276.85,286.70,18590500,286.70
2017-03-31,280.35,282.90,275.70,276.85,17947100,276.85
2017-03-30,281.25,283.25,279.75,281.35,15039100,281.35
2017-03-29,278.95,282.80,276.65,282.20,17191600,282.20
2017-03-28,277.00,277.55,275.10,277.00,12621800,277.00
2017-03-27,280.00,280.00,272.20,273.15,11219600,273.15
2017-03-24,269.65,276.85,269.65,274.75,17479300,274.75
2017-03-23,266.50,268.25,264.80,266.95,12008600,266.95
2017-03-22,267.90,268.75,264.50,265.00,22303600,265.00
2017-03-21,276.00,276.80,271.10,272.05,14821800,272.05
2017-03-20,279.70,279.70,274.00,275.05,11048300,275.05
2017-03-17,286.10,286.70,279.65,280.60,22742000,280.60
2017-03-16,286.55,287.45,282.45,284.50,9738300,284.50
2017-03-15,285.90,287.00,284.10,285.15,12195300,285.15
2017-03-14,281.10,288.20,281.10,287.25,39532700,287.25
2017-03-13,270.55,270.55,270.55,270.55,000,270.55
2017-03-10,275.15,276.50,269.40,270.55,14317400,270.55
2017-03-09,274.00,275.95,272.60,273.50,10588900,273.50
2017-03-08,276.20,276.55,272.10,274.40,11790600,274.40
2017-03-07,277.00,279.25,275.00,276.00,8287500,276.00
2017-03-06,275.95,279.35,275.50,276.75,11422700,276.75
2017-03-03,278.60,278.90,275.05,275.95,8414600,275.95
2017-03-02,282.05,284.50,277.00,278.65,18219000,278.65
2017-03-01,277.60,280.95,277.25,279.10,18166500,279.10
2017-02-28,278.95,280.10,275.70,276.35,16527100,276.35
2017-02-27,285.00,285.55,277.10,278.85,13670800,278.85
2017-02-24,284.50,284.50,284.50,284.50,000,284.50
2017-02-23,284.70,288.75,282.05,284.50,23181000,284.50
2017-02-22,287.90,287.90,281.15,286.15,27988400,286.15
2017-02-21,283.00,285.80,281.20,284.80,10262300,284.80
2017-02-20,283.05,286.15,281.10,282.35,9043200,282.35
2017-02-17,279.70,286.10,275.85,283.00,25905700,283.00
2017-02-16,281.30,281.45,272.85,278.80,18416200,278.80
2017-02-15,285.20,286.40,278.60,280.75,13109700,280.75
2017-02-14,283.00,285.90,281.30,284.65,11717400,284.65
2017-02-13,282.50,284.10,279.55,281.65,11949400,281.65
2017-02-10,285.60,286.15,280.10,281.60,15246700,281.60
2017-02-09,286.60,288.75,278.60,285.00,15119200,285.00
2017-02-08,288.00,288.50,282.70,285.80,15148100,285.80
2017-02-07,288.00,292.70,285.30,288.10,11663000,288.10
2017-02-06,283.55,292.25,283.55,290.30,20474400,290.30
2017-02-03,284.95,284.95,278.80,281.55,18235300,281.55
2017-02-02,282.00,287.50,280.55,285.80,26282600,285.80
2017-02-01,265.85,283.50,262.80,281.00,40588400,281.00
2017-01-31,268.80,274.00,266.45,268.95,18668300,268.95
2017-01-30,273.00,275.60,269.70,270.80,15488600,270.80
2017-01-27,263.05,274.00,260.70,272.00,81303300,272.00
2017-01-26,259.95,259.95,259.95,259.95,000,259.95
2017-01-25,259.00,260.80,255.60,259.95,37343700,259.95
2017-01-24,258.55,258.55,255.65,257.15,24109100,257.15
2017-01-23,261.80,261.80,255.15,257.55,39812100,257.55
2017-01-20,267.00,267.95,262.55,263.45,11097300,263.45
2017-01-19,268.80,270.70,266.20,269.70,7823300,269.70
2017-01-18,267.40,272.10,266.75,268.45,9168700,268.45
2017-01-17,269.50,271.50,265.50,268.40,6334600,268.40
2017-01-16,267.40,270.85,264.80,269.30,8057800,269.30
2017-01-13,270.00,270.00,264.80,268.05,7100300,268.05
2017-01-12,266.60,269.50,265.45,268.35,10646600,268.35
2017-01-11,262.50,268.10,261.60,264.70,17786900,264.70
2017-01-10,260.00,261.90,258.30,260.20,13440000,260.20
2017-01-09,257.90,259.85,256.00,258.70,7159300,258.70
2017-01-06,258.25,261.40,257.20,258.15,8231900,258.15
2017-01-05,253.20,258.50,252.20,257.25,12573300,257.25
2017-01-04,254.25,255.75,250.40,251.10,6273800,251.10
2017-01-03,252.10,255.40,249.30,254.40,9306000,254.40
2017-01-02,256.30,256.30,248.10,251.95,9458500,251.95
2016-12-30,252.00,257.50,251.35,255.30,10514300,255.30
2016-12-29,252.10,253.00,250.05,251.10,5799600,251.10
2016-12-28,254.00,254.80,251.05,251.75,8342500,251.75
2016-12-27,249.00,254.35,246.70,253.55,8267700,253.55
2016-12-26,252.25,252.45,247.10,248.15,6151900,248.15
2016-12-23,252.95,254.75,250.15,251.85,6302300,251.85
2016-12-22,252.70,254.80,250.65,252.95,8137700,252.95
2016-12-21,253.00,255.35,251.20,253.25,6987000,253.25
2016-12-20,256.70,256.70,250.25,251.60,10536300,251.60
2016-12-19,255.40,258.95,254.75,257.10,6743300,257.10
2016-12-16,260.00,260.00,254.85,255.60,22713000,255.60
2016-12-15,258.70,261.70,257.75,260.30,21899600,260.30
2016-12-14,264.50,264.70,260.00,260.55,13062700,260.55
2016-12-13,263.40,265.35,262.50,264.40,9332300,264.40
2016-12-12,267.50,268.30,263.85,264.85,6832600,264.85
2016-12-09,263.95,269.80,263.00,268.45,15939300,268.45
2016-12-08,260.55,263.40,258.40,262.75,10305600,262.75
2016-12-07,262.80,264.40,251.00,258.70,12396000,258.70
2016-12-06,262.25,262.65,259.55,261.00,7577400,261.00
2016-12-05,259.60,261.40,257.80,260.85,7550000,260.85
2016-12-02,258.00,264.60,255.85,259.50,11159400,259.50
2016-12-01,266.25,268.00,257.75,259.15,14356400,259.15
2016-11-30,257.45,266.50,255.95,265.55,18846400,265.55
2016-11-29,255.50,259.40,254.30,255.45,29390600,255.45
2016-11-28,256.65,256.65,253.50,255.30,29945200,255.30
2016-11-25,262.40,262.40,257.05,260.10,15101500,260.10
2016-11-24,263.80,263.80,258.00,259.30,20511900,259.30
2016-11-23,264.10,265.85,260.50,264.95,15595300,264.95
2016-11-22,265.00,266.60,259.30,262.70,21733400,262.70
2016-11-21,266.20,267.00,254.85,261.20,19659800,261.20
2016-11-18,268.45,269.00,262.30,264.60,9076300,264.60
2016-11-17,267.95,270.65,264.00,267.65,13321900,267.65
2016-11-16,276.60,278.20,264.20,266.20,24066500,266.20
2016-11-15,277.00,280.80,266.15,269.75,34510400,269.75
2016-11-14,276.40,276.40,276.40,276.40,000,276.40
2016-11-11,287.25,294.25,274.50,276.40,30033300,276.40
2016-11-10,288.50,298.40,286.70,292.60,26488600,292.60
2016-11-09,254.90,284.75,245.00,281.45,46413600,281.45
2016-11-08,285.80,287.45,278.25,283.20,31957900,283.20
2016-11-07,275.80,281.20,272.50,278.70,17037200,278.70
2016-11-04,271.90,272.50,265.35,269.80,14874000,269.80
2016-11-03,272.00,276.40,268.40,269.75,11349700,269.75
2016-11-02,270.00,273.25,268.75,271.90,13764200,271.90
2016-11-01,279.45,279.75,274.50,275.35,10613900,275.35
2016-10-31,276.85,276.85,276.85,276.85,000,276.85
2016-10-28,282.00,282.50,275.55,276.85,16649200,276.85
2016-10-27,277.40,285.00,275.00,284.30,18061800,284.30
2016-10-26,284.45,284.45,277.00,278.40,27288800,278.40
2016-10-25,289.20,291.60,284.60,289.25,22809700,289.25
2016-10-24,279.15,286.45,279.15,284.55,20199400,284.55
2016-10-21,276.25,280.05,274.10,277.40,23966200,277.40
2016-10-20,267.15,278.90,267.15,277.60,32981900,277.60
2016-10-19,271.35,271.70,263.25,265.05,18153400,265.05
2016-10-18,259.55,271.40,259.50,270.35,38056000,270.35
2016-10-17,246.00,259.90,245.55,258.75,62802200,258.75
2016-10-14,241.20,243.00,239.70,241.75,9783400,241.75
2016-10-13,247.80,248.40,239.10,241.15,18851600,241.15
2016-10-12,250.10,250.10,250.10,250.10,000,250.10
2016-10-11,250.10,250.10,250.10,250.10,000,250.10
2016-10-10,251.90,253.20,249.15,250.10,6010100,250.10
2016-10-07,250.90,253.90,248.20,250.60,9551500,250.60
2016-10-06,257.00,257.05,249.20,251.25,12594900,251.25
