Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,1005.00,1005.40002,991.00,995.95001,3699100,995.95001
2017-04-04,1008.79999,1008.79999,1008.79999,1008.79999,000,1008.79999
2017-04-03,1032.15002,1032.44995,1006.09998,1008.79999,2157800,1008.79999
2017-03-31,1023.25,1029.30005,1008.00,1022.25,7076900,1022.25
2017-03-30,1034.00,1035.90002,1020.25,1025.50,6078500,1025.50
2017-03-29,1034.30005,1041.50,1025.84998,1031.84998,3490500,1031.84998
2017-03-28,1031.50,1039.00,1030.05005,1035.15002,2398300,1035.15002
2017-03-27,1027.19995,1041.84998,1024.50,1028.84998,3842400,1028.84998
2017-03-24,1038.00,1044.00,1027.69995,1031.40002,2441900,1031.40002
2017-03-23,1028.25,1043.00,1026.59998,1040.44995,2250800,1040.44995
2017-03-22,1022.45001,1039.94995,1020.40002,1027.69995,1995400,1027.69995
2017-03-21,1020.90002,1034.94995,1018.79999,1032.84998,2434700,1032.84998
2017-03-20,1026.55005,1026.55005,1015.09998,1021.50,2213600,1021.50
2017-03-17,1035.40002,1042.90002,1019.25,1040.30005,4753900,1040.30005
2017-03-16,1013.29999,1031.69995,1013.29999,1028.84998,3351400,1028.84998
2017-03-15,1034.90002,1034.90002,1007.50,1011.95001,3186900,1011.95001
2017-03-14,1022.79999,1041.90002,1022.79999,1034.80005,3939100,1034.80005
2017-03-13,1021.84998,1021.84998,1021.84998,1021.84998,000,1021.84998
2017-03-10,1015.00,1027.65002,1013.40002,1021.84998,2275100,1021.84998
2017-03-09,1007.79999,1013.00,999.00,1011.54999,1740300,1011.54999
2017-03-08,1016.90002,1016.90002,1004.45001,1007.79999,3089500,1007.79999
2017-03-07,1022.00,1025.80005,1014.70001,1019.79999,2322200,1019.79999
2017-03-06,1020.04999,1035.94995,1019.70001,1033.90002,2643100,1033.90002
2017-03-03,1010.25,1034.30005,1000.40002,1031.19995,2700800,1031.19995
2017-03-02,1024.40002,1028.00,1016.50,1023.29999,1474200,1023.29999
2017-03-01,1012.00,1027.00,1010.09998,1025.15002,2141200,1025.15002
2017-02-28,1011.84998,1022.70001,1009.25,1012.40002,2970000,1012.40002
2017-02-27,1007.29999,1023.00,1006.95001,1012.40002,2664300,1012.40002
2017-02-24,1008.84998,1008.84998,1008.84998,1008.84998,000,1008.84998
2017-02-23,998.90002,1020.00,993.34998,1008.84998,4771300,1008.84998
2017-02-22,1015.00,1015.00,986.40002,990.15002,3303900,990.15002
2017-02-21,1022.09998,1024.50,1000.04999,1013.59998,3806900,1013.59998
2017-02-20,996.50,1031.00,993.50,1010.25,2325300,1010.25
2017-02-17,1013.75,1013.75,992.70001,1000.09998,2425600,1000.09998
2017-02-16,991.00,1013.90002,990.04999,1012.09998,6407900,1012.09998
2017-02-15,989.20001,998.79999,968.79999,981.79999,3629700,981.79999
2017-02-14,980.00,989.00,972.34998,987.70001,4669400,987.70001
2017-02-13,972.84998,986.09998,962.84998,984.34998,6862100,984.34998
2017-02-10,946.25,972.00,943.29999,968.29999,6126200,968.29999
2017-02-09,937.00,950.00,936.54999,946.00,5953600,946.00
2017-02-08,936.00,944.09998,932.45001,936.50,3159900,936.50
2017-02-07,933.00,949.79999,928.54999,942.25,4634000,942.25
2017-02-06,937.25,943.75,930.54999,935.25,3363900,935.25
2017-02-03,933.79999,940.90002,921.04999,936.09998,4211900,936.09998
2017-02-02,917.00,945.00,910.09998,935.90002,5914100,935.90002
2017-02-01,921.09998,923.20001,905.15002,916.75,5765800,916.75
2017-01-31,941.50,941.50,904.34998,928.59998,12034200,928.59998
2017-01-30,937.50,951.50,928.84998,949.34998,5684600,949.34998
2017-01-27,933.84998,947.54999,901.15002,942.15002,5317500,942.15002
2017-01-26,936.59998,936.59998,936.59998,936.59998,000,936.59998
2017-01-25,946.09998,946.79999,934.79999,936.59998,4989000,936.59998
2017-01-24,950.00,950.00,940.09998,945.54999,3413000,945.54999
2017-01-23,945.00,958.00,940.00,952.70001,3974200,952.70001
