Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,1661.00,1699.95,1647.85,1696.45,3453100,1696.45
2017-04-04,1661.00,1661.00,1661.00,1661.00,000,1661.00
2017-04-03,1581.90,1666.00,1576.60,1661.00,4384500,1661.00
2017-03-31,1552.10,1593.65,1552.10,1574.90,2362000,1574.90
2017-03-30,1563.00,1570.00,1552.25,1557.45,1525500,1557.45
2017-03-29,1554.00,1567.60,1550.00,1556.55,1520200,1556.55
2017-03-28,1548.00,1557.80,1541.10,1544.25,1752600,1544.25
2017-03-27,1549.90,1555.00,1538.00,1543.90,1055700,1543.90
2017-03-24,1548.00,1558.00,1541.50,1551.20,898400,1551.20
2017-03-23,1537.00,1558.40,1519.05,1543.90,1674500,1543.90
2017-03-22,1537.85,1551.75,1525.40,1529.85,2247600,1529.85
2017-03-21,1550.00,1564.60,1543.00,1549.05,1610100,1549.05
2017-03-20,1554.00,1555.40,1535.25,1537.65,961400,1537.65
2017-03-17,1571.05,1572.90,1544.15,1552.55,1285300,1552.55
2017-03-16,1559.00,1575.00,1558.00,1571.05,1597400,1571.05
2017-03-15,1557.00,1560.00,1540.20,1548.90,1605900,1548.90
2017-03-14,1517.00,1568.70,1517.00,1558.10,4816500,1558.10
2017-03-13,1491.60,1491.60,1491.60,1491.60,000,1491.60
2017-03-10,1480.90,1497.50,1480.05,1491.60,1224100,1491.60
2017-03-09,1472.90,1482.80,1465.00,1476.90,740700,1476.90
2017-03-08,1484.40,1494.50,1468.85,1476.30,949500,1476.30
2017-03-07,1484.00,1491.55,1479.45,1486.40,661000,1486.40
2017-03-06,1468.00,1489.00,1468.00,1485.60,547900,1485.60
2017-03-03,1471.35,1478.35,1460.00,1470.35,803300,1470.35
2017-03-02,1482.05,1495.35,1470.00,1473.95,1280100,1473.95
2017-03-01,1472.00,1484.85,1471.15,1476.15,812900,1476.15
2017-02-28,1472.00,1487.95,1466.15,1469.20,1182300,1469.20
2017-02-27,1494.70,1500.00,1460.10,1465.85,1035900,1465.85
2017-02-24,1486.60,1486.60,1486.60,1486.60,000,1486.60
2017-02-23,1480.00,1506.00,1468.20,1486.60,1450200,1486.60
2017-02-22,1483.00,1488.75,1472.80,1476.95,860800,1476.95
2017-02-21,1476.00,1490.10,1476.00,1483.30,647000,1483.30
2017-02-20,1482.85,1492.00,1475.05,1482.65,736900,1482.65
2017-02-17,1471.05,1485.00,1465.00,1478.00,685700,1478.00
2017-02-16,1483.90,1485.00,1461.05,1470.25,1381200,1470.25
2017-02-15,1492.70,1505.70,1476.15,1480.00,1301600,1480.00
2017-02-14,1505.00,1506.95,1486.00,1492.60,617600,1492.60
2017-02-13,1505.55,1509.00,1481.55,1500.15,620000,1500.15
2017-02-10,1495.25,1508.15,1492.25,1501.95,867300,1501.95
2017-02-09,1508.00,1510.85,1476.40,1490.70,1019500,1490.70
2017-02-08,1504.80,1511.00,1489.25,1506.85,1126500,1506.85
2017-02-07,1480.20,1504.80,1472.15,1500.30,1666300,1500.30
2017-02-06,1485.00,1500.00,1479.40,1483.80,1017800,1483.80
2017-02-03,1476.50,1488.00,1457.00,1480.70,1100300,1480.70
2017-02-02,1491.60,1494.00,1470.30,1476.50,1505200,1476.50
2017-02-01,1447.95,1494.85,1446.30,1490.25,2385000,1490.25
2017-01-31,1440.00,1455.00,1427.00,1446.25,1262700,1446.25
2017-01-30,1443.00,1467.00,1438.00,1442.80,1734300,1442.80
2017-01-27,1451.05,1470.25,1433.35,1439.90,1247400,1439.90
2017-01-26,1449.75,1449.75,1449.75,1449.75,000,1449.75
2017-01-25,1424.80,1454.00,1420.40,1449.75,1529800,1449.75
2017-01-24,1398.25,1424.00,1398.00,1419.80,1253100,1419.80
2017-01-23,1412.00,1413.00,1381.90,1393.55,2356000,1393.55
2017-01-20,1449.45,1453.90,1411.00,1414.75,1451600,1414.75
2017-01-19,1453.00,1463.00,1445.05,1449.45,679900,1449.45
2017-01-18,1446.00,1469.00,1446.00,1452.45,1025400,1452.45
2017-01-17,1440.00,1459.95,1440.00,1445.75,949200,1445.75
2017-01-16,1435.00,1450.00,1432.30,1442.80,701800,1442.80
2017-01-13,1460.00,1460.00,1432.20,1438.75,933800,1438.75
2017-01-12,1414.90,1454.30,1414.00,1449.35,1804900,1449.35
2017-01-11,1398.00,1417.85,1395.00,1412.35,1009600,1412.35
2017-01-10,1380.25,1395.00,1377.55,1387.50,906400,1387.50
2017-01-09,1392.00,1397.95,1376.70,1380.65,546300,1380.65
2017-01-06,1395.00,1403.70,1387.60,1390.95,975200,1390.95
2017-01-05,1382.25,1395.00,1378.00,1392.30,1854300,1392.30
2017-01-04,1375.00,1381.35,1370.50,1376.60,1429800,1376.60
2017-01-03,1360.00,1375.00,1352.20,1367.20,908900,1367.20
2017-01-02,1356.05,1369.00,1349.15,1359.60,984500,1359.60
2016-12-30,1345.00,1355.50,1344.00,1349.10,853900,1349.10
2016-12-29,1341.55,1354.00,1330.40,1339.20,1340400,1339.20
2016-12-28,1357.00,1363.25,1346.00,1349.95,862800,1349.95
2016-12-27,1340.00,1359.50,1329.10,1355.60,814900,1355.60
2016-12-26,1335.60,1345.00,1318.35,1337.60,799100,1337.60
2016-12-23,1315.75,1342.00,1302.50,1337.45,1424400,1337.45
2016-12-22,1340.75,1344.00,1312.05,1314.65,905000,1314.65
2016-12-21,1358.20,1360.55,1340.00,1342.00,633400,1342.00
2016-12-20,1345.00,1361.20,1344.15,1355.50,785100,1355.50
2016-12-19,1357.50,1359.00,1341.55,1344.95,765400,1344.95
2016-12-16,1356.30,1364.50,1352.05,1360.60,1051600,1360.60
2016-12-15,1349.75,1367.10,1349.00,1356.85,600300,1356.85
2016-12-14,1381.90,1381.90,1357.10,1359.95,907200,1359.95
2016-12-13,1366.00,1378.90,1365.20,1375.70,1445400,1375.70
2016-12-12,1360.00,1374.90,1356.10,1364.95,1090800,1364.95
