Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,165.90,168.00,164.70,166.50,5109300,166.50
2017-04-04,164.65,164.65,164.65,164.65,000,164.65
2017-04-03,166.00,167.30,164.05,164.65,2952300,164.65
2017-03-31,163.60,166.75,163.10,166.00,3178600,166.00
2017-03-30,164.05,165.50,162.60,163.10,8013100,163.10
2017-03-29,165.95,165.95,163.40,163.95,3831500,163.95
2017-03-28,164.10,165.35,163.90,164.90,1405700,164.90
2017-03-27,164.00,164.95,163.00,163.35,2720700,163.35
2017-03-24,164.85,165.55,163.50,164.60,3818200,164.60
2017-03-23,161.40,164.80,161.10,164.40,5320200,164.40
2017-03-22,161.30,162.00,160.25,160.75,2493300,160.75
2017-03-21,161.45,162.55,160.00,162.15,3031000,162.15
2017-03-20,159.10,161.85,159.10,161.40,2243100,161.40
2017-03-17,161.70,161.85,158.75,159.95,6430300,159.95
2017-03-16,159.45,161.50,159.05,161.25,3279600,161.25
2017-03-15,159.50,160.00,158.30,158.65,2531900,158.65
2017-03-14,160.45,160.95,158.10,159.60,4589000,159.60
2017-03-13,157.10,157.10,157.10,157.10,000,157.10
2017-03-10,158.35,159.45,156.40,157.10,2418600,157.10
2017-03-09,156.65,159.25,155.60,158.30,4666900,158.30
2017-03-08,157.60,158.55,156.25,157.10,3044200,157.10
2017-03-07,160.00,160.05,157.00,157.40,4016800,157.40
2017-03-06,156.90,159.00,156.10,158.40,4190300,158.40
2017-03-03,155.95,157.20,154.70,156.10,8147300,156.10
2017-03-02,160.90,160.90,155.25,155.95,13656800,155.95
2017-03-01,163.45,164.30,159.00,159.95,9818200,159.95
2017-02-28,166.00,166.15,162.25,162.95,14041800,162.95
2017-02-27,166.15,166.45,163.60,165.40,7375400,165.40
2017-02-24,165.50,165.50,165.50,165.50,000,165.50
2017-02-23,167.40,167.40,164.05,165.50,6705400,165.50
2017-02-22,173.85,174.00,165.95,166.70,6782100,166.70
2017-02-21,171.95,173.05,170.55,172.50,1805800,172.50
2017-02-20,170.00,172.60,169.50,171.80,6132000,171.80
2017-02-17,170.70,170.95,168.85,169.75,2723700,169.75
2017-02-16,169.50,170.85,169.10,170.30,3374600,170.30
2017-02-15,168.75,170.60,168.30,169.05,3825900,169.05
2017-02-14,172.90,172.90,169.90,170.85,4311700,168.24
2017-02-13,170.95,173.10,170.95,172.50,6150700,169.86
2017-02-10,169.25,171.65,168.65,170.35,3986000,167.75
2017-02-09,171.90,173.95,167.40,168.20,6253400,165.63
2017-02-08,174.40,175.25,170.25,171.90,8516700,169.27
2017-02-07,172.80,175.50,172.35,173.00,5515700,170.36
2017-02-06,172.50,174.90,172.10,173.60,5069000,170.95
2017-02-03,172.50,173.65,171.45,171.95,3441100,169.32
2017-02-02,172.70,176.00,171.75,172.55,5952000,169.91
2017-02-01,172.65,173.30,169.30,170.90,8664200,168.29
2017-01-31,176.00,177.70,171.75,172.35,6200900,169.72
2017-01-30,176.85,177.90,174.50,175.70,4597100,173.02
2017-01-27,171.50,178.25,171.40,177.50,5076100,174.79
2017-01-26,171.35,171.35,171.35,171.35,000,168.73
2017-01-25,172.55,173.50,170.45,171.35,10929300,168.73
2017-01-24,169.70,174.20,169.70,172.35,6008000,169.72
2017-01-23,170.00,172.45,169.20,169.60,3768900,167.01
2017-01-20,173.70,174.10,169.80,170.45,3643800,167.85
2017-01-19,173.00,175.00,171.75,174.15,6564300,171.49
2017-01-18,176.00,176.25,172.00,172.75,5176200,170.11
2017-01-17,171.30,176.20,170.25,175.70,6560900,173.02
2017-01-16,169.35,173.15,169.00,170.65,4633700,168.04
2017-01-13,174.90,175.00,170.65,171.00,5360700,168.39
2017-01-12,165.00,174.35,164.50,173.70,10115400,171.05
2017-01-11,163.00,164.80,161.85,164.50,2303000,161.99
2017-01-10,163.35,163.80,161.70,162.30,2019800,159.82
2017-01-09,164.00,164.30,161.10,163.05,3808000,160.56
2017-01-06,165.05,166.30,163.60,164.00,4122800,161.49
2017-01-05,164.05,166.30,164.05,165.00,5544100,162.48
2017-01-04,165.05,167.50,164.35,164.85,3107700,162.33
2017-01-03,164.90,166.25,164.25,165.45,2040400,162.92
2017-01-02,165.05,167.15,164.40,164.80,2626800,162.28
2016-12-30,163.20,165.45,163.00,164.75,3536700,162.23
2016-12-29,160.50,164.25,160.50,163.55,4980000,161.05
2016-12-28,160.40,162.30,160.00,160.75,2165400,158.29
2016-12-27,159.90,161.45,159.50,160.40,2614900,157.95
2016-12-26,160.10,162.15,159.35,159.95,2402900,157.51
2016-12-23,160.10,161.85,157.90,161.05,2516000,158.59
2016-12-22,163.35,164.10,160.00,160.50,2415500,158.05
2016-12-21,162.35,164.90,161.05,163.65,3199000,161.15
2016-12-20,160.90,162.50,160.50,161.85,2401700,159.38
2016-12-19,161.00,161.25,159.25,159.90,2619200,157.46
2016-12-16,160.45,162.20,159.55,160.00,3607600,157.56
2016-12-15,162.70,164.55,159.75,160.20,2795100,157.75
2016-12-14,165.10,166.40,163.05,163.55,2795200,161.05
2016-12-13,166.35,167.00,163.05,164.80,2958900,162.28
2016-12-12,163.90,168.00,163.55,165.45,3103300,162.92
2016-12-09,163.45,164.40,161.10,164.05,2067900,161.54
2016-12-08,163.95,165.15,161.30,163.05,3462300,160.56
2016-12-07,163.85,165.80,162.50,163.15,3074500,160.66
2016-12-06,163.00,165.55,162.30,163.10,4461500,160.61
2016-12-05,160.55,163.20,160.55,162.45,2851800,159.97
2016-12-02,161.95,162.95,159.80,161.65,2927700,159.18
2016-12-01,163.15,164.95,161.15,161.90,3140000,159.43
2016-11-30,163.20,164.00,161.75,163.15,8062200,160.66
2016-11-29,164.50,165.20,162.20,163.00,5128900,160.51
2016-11-28,160.10,164.95,160.10,164.35,3835900,161.84
2016-11-25,157.95,162.45,155.50,161.50,4832200,159.03
2016-11-24,158.80,160.00,155.15,157.00,4259400,154.60
2016-11-23,154.40,161.00,150.95,159.85,8461000,157.41
2016-11-22,156.00,156.10,151.05,154.10,8815400,151.75
2016-11-21,159.00,159.85,154.45,154.90,8240200,152.53
2016-11-18,152.70,160.00,152.15,159.05,11036400,156.62
2016-11-17,150.00,152.70,149.20,151.80,5407200,149.48
2016-11-16,151.30,151.80,149.25,150.15,2820300,147.86
2016-11-15,151.40,152.55,149.00,150.15,3397700,147.86
2016-11-14,151.70,151.70,151.70,151.70,000,149.38
2016-11-11,154.00,154.00,150.80,151.70,3034500,149.38
2016-11-10,155.50,156.35,154.05,154.80,3688900,152.44
2016-11-09,147.70,156.00,145.60,154.10,6848400,151.75
2016-11-08,155.40,156.60,153.55,154.15,3741700,151.80
2016-11-07,154.15,156.90,153.35,155.10,3806000,152.73
2016-11-04,153.60,155.50,152.80,153.50,1995200,151.16
2016-11-03,156.80,157.30,152.50,153.05,3610000,150.71
2016-11-02,153.95,157.60,153.15,156.50,6798100,154.11
2016-11-01,151.70,156.55,150.70,155.00,3399000,152.63
2016-10-31,152.25,152.25,152.25,152.25,000,149.92
2016-10-28,151.90,154.95,150.25,152.25,6114800,149.92
2016-10-27,151.70,152.80,150.50,151.70,2751600,149.38
2016-10-26,151.45,152.90,151.10,151.85,1615400,149.53
2016-10-25,150.60,152.55,149.55,152.00,1694900,149.68
2016-10-24,149.85,152.00,149.70,151.35,1108200,149.04
2016-10-21,148.40,150.00,148.40,149.50,1520700,147.22
2016-10-20,149.75,149.90,148.35,149.00,2666600,146.72
2016-10-19,148.45,150.20,147.65,149.05,6718600,146.77
2016-10-18,148.00,148.80,147.15,148.00,8624800,145.74
2016-10-17,147.00,148.60,146.10,147.50,7877500,145.25
2016-10-14,145.30,145.60,143.50,145.00,3260300,142.78
