Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,186.35,186.70,184.75,186.25,6772800,186.25
2017-04-04,185.80,185.80,185.80,185.80,000,185.80
2017-04-03,185.20,186.35,184.80,185.80,4802500,185.80
2017-03-31,184.90,186.30,184.20,185.00,8217600,185.00
2017-03-30,187.05,188.25,183.00,183.90,14882600,183.90
2017-03-29,187.90,188.10,186.40,186.95,9676000,186.95
2017-03-28,189.70,190.00,186.30,186.90,9790500,186.90
2017-03-27,191.80,192.00,188.50,188.90,4780000,188.90
2017-03-24,193.35,193.40,191.35,191.90,9289700,191.90
2017-03-23,193.55,194.50,192.75,193.60,4208100,193.60
2017-03-22,192.50,193.90,191.00,192.50,4960400,192.50
2017-03-21,191.00,194.45,191.00,194.05,6715200,194.05
2017-03-20,190.05,191.70,189.70,190.85,5070000,190.85
2017-03-17,192.00,192.40,189.45,190.00,7462500,190.00
2017-03-16,193.00,193.60,191.25,191.80,6732700,191.80
2017-03-15,191.30,192.95,190.50,190.70,4219900,190.70
2017-03-14,194.60,194.60,191.50,191.90,8850000,191.90
2017-03-13,191.60,191.60,191.60,191.60,000,191.60
2017-03-10,189.70,192.45,188.30,191.60,7822800,191.60
2017-03-09,191.50,191.70,189.10,189.65,6323800,189.65
2017-03-08,197.00,197.20,192.30,192.95,6553200,192.95
2017-03-07,194.00,196.95,193.50,196.40,7768600,196.40
2017-03-06,193.50,194.75,193.00,193.80,3847900,193.80
2017-03-03,192.35,193.50,191.60,193.05,4294800,193.05
2017-03-02,194.80,194.90,192.15,192.70,6978500,192.70
2017-03-01,196.70,196.70,193.40,193.85,11243700,193.85
2017-02-28,197.10,197.30,192.65,193.55,10367500,193.55
2017-02-27,197.00,198.00,193.80,194.70,7881100,194.70
2017-02-24,196.00,196.00,196.00,196.00,000,196.00
2017-02-23,195.90,197.60,194.35,196.00,20504500,196.00
2017-02-22,198.00,198.50,195.10,195.60,5671300,195.60
2017-02-21,195.75,196.75,194.50,196.25,3280200,196.25
2017-02-20,194.70,196.20,192.25,195.30,8954700,195.30
2017-02-17,195.00,195.20,193.50,194.40,3230800,194.40
2017-02-16,196.05,196.30,193.75,194.10,3343400,194.10
2017-02-15,195.90,197.80,194.15,194.95,5793100,194.95
2017-02-14,193.00,196.20,191.85,195.70,7785900,195.70
2017-02-13,194.30,194.50,190.80,192.25,4083900,192.25
2017-02-10,194.00,195.45,193.10,193.65,6287800,193.65
2017-02-09,195.45,196.20,192.45,192.90,6092200,192.90
2017-02-08,194.00,196.00,192.55,194.40,7106800,194.40
2017-02-07,198.00,199.50,192.65,193.30,10805600,193.30
2017-02-06,202.80,202.85,198.75,199.00,5926200,196.75
2017-02-03,201.70,203.20,200.55,200.95,4940800,198.678
2017-02-02,201.00,204.50,200.40,200.85,8549900,198.5791
2017-02-01,203.00,205.00,199.50,200.20,11271100,197.9364
2017-01-31,210.00,211.80,201.00,202.55,39669800,200.2599
2017-01-30,204.50,205.45,200.80,201.85,4594000,199.5678
2017-01-27,206.00,208.00,203.15,204.50,5089800,202.1878
2017-01-26,204.90,204.90,204.90,204.90,000,202.5833
2017-01-25,201.95,205.70,201.95,204.90,11413500,202.5833
2017-01-24,201.15,202.20,199.35,201.60,3600700,199.3206
2017-01-23,197.30,201.80,197.30,199.90,5350400,197.6398
2017-01-20,200.85,202.00,195.45,197.30,7834300,195.0692
2017-01-19,197.85,201.45,196.85,200.85,11378600,198.5791
2017-01-18,195.50,198.40,193.75,198.00,9444900,195.7613
2017-01-17,199.00,199.65,193.00,194.80,4631500,192.5975
2017-01-16,201.00,201.80,198.05,198.35,4070800,196.1074
2017-01-13,203.00,203.95,200.05,201.30,7173200,199.024
2017-01-12,198.50,201.70,198.50,199.55,7180300,197.2938
2017-01-11,198.60,200.00,197.30,197.65,3657800,195.4153
2017-01-10,198.90,203.00,197.70,198.45,6865300,196.2062
2017-01-09,203.95,204.95,197.10,198.00,4783900,195.7613
2017-01-06,200.00,206.95,200.00,202.55,8399500,200.2599
2017-01-05,195.30,200.25,195.30,199.65,6831300,197.3926
2017-01-04,193.50,196.75,192.10,194.80,7507700,192.5975
2017-01-03,193.40,193.75,191.15,192.50,4764300,190.3235
2017-01-02,191.80,193.00,191.35,192.25,2690400,190.0763
2016-12-30,192.70,193.35,190.25,191.35,3664000,189.1865
2016-12-29,190.00,193.75,189.95,191.60,13079100,189.4337
2016-12-28,189.50,192.10,189.25,189.90,4245000,187.7529
2016-12-27,190.00,190.90,187.70,190.30,4972700,188.1484
2016-12-26,192.00,192.75,188.15,189.00,4468700,186.8631
2016-12-23,196.95,197.25,192.50,192.95,5637400,190.7684
2016-12-22,200.90,200.90,194.10,194.90,5073900,192.6964
2016-12-21,200.60,202.35,199.65,201.50,4699900,199.2217
2016-12-20,201.40,201.45,197.50,199.85,4487600,197.5904
2016-12-19,203.10,203.40,200.10,201.40,6134600,199.1229
2016-12-16,207.70,207.95,200.80,201.70,6046000,199.4195
2016-12-15,202.80,208.60,201.35,206.45,10011100,204.1158
2016-12-14,206.767,207.633,202.733,203.533,14303500,134.1545
2016-12-13,209.30,209.30,205.833,208.00,11867700,137.0988
2016-12-12,206.667,209.733,206.667,207.633,7390600,136.8569
2016-12-09,202.767,205.20,202.733,204.533,5012300,134.8136
2016-12-08,198.70,202.933,198.70,202.20,7229700,133.2759
2016-12-07,299.8995,300.45,296.2005,297.1005,6324700,195.8276
2016-12-06,297.30,299.7495,296.6505,298.7505,6281900,196.9151
2016-12-05,289.20,296.6505,289.20,295.3995,5358300,194.7064
2016-12-02,293.70,295.80,290.40,291.2505,7668500,191.9717
2016-12-01,295.0005,298.6005,291.00,292.1505,12753500,192.5649
2016-11-30,283.9995,291.1995,282.6495,288.90,10633400,190.4224
2016-11-29,284.25,287.8005,281.2995,284.8005,6467500,187.7203
2016-11-28,275.2995,285.4995,274.5495,283.9995,6170100,187.1923
2016-11-25,276.75,279.8505,275.40,277.4505,4391600,182.8757
2016-11-24,280.0005,281.70,275.10,277.2495,7236100,182.7432
2016-11-23,279.00,281.4495,276.00,279.90,6432600,184.4902
2016-11-22,280.95,283.50,275.10,277.9005,8852800,183.1723
