Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,1395.20,1418.00,1380.10,1415.00,9217300,1415.00
2017-04-04,1374.65,1374.65,1374.65,1374.65,000,1374.65
2017-04-03,1342.00,1380.50,1337.05,1374.65,10260300,1374.65
2017-03-31,1266.00,1337.65,1266.00,1320.90,10375500,1320.90
2017-03-30,1255.00,1274.75,1253.00,1270.65,6368800,1270.65
2017-03-29,1251.70,1260.00,1233.35,1256.65,4325700,1256.65
2017-03-28,1258.00,1264.00,1242.10,1245.75,4961900,1245.75
2017-03-27,1271.10,1278.75,1247.20,1251.10,7418100,1251.10
2017-03-24,1274.10,1292.00,1268.45,1286.75,3721900,1286.75
2017-03-23,1263.15,1277.55,1258.00,1273.30,2699000,1273.30
2017-03-22,1252.00,1265.90,1246.55,1259.70,4638300,1259.70
2017-03-21,1282.20,1283.90,1259.30,1263.80,5165100,1263.80
2017-03-20,1306.00,1306.25,1278.35,1280.80,2941700,1280.80
2017-03-17,1308.00,1319.95,1298.05,1300.70,5195000,1300.70
2017-03-16,1310.00,1310.40,1293.60,1297.65,3639900,1297.65
2017-03-15,1291.05,1316.30,1290.40,1304.95,5510600,1304.95
2017-03-14,1318.75,1319.00,1285.25,1289.50,6346600,1289.50
2017-03-13,1281.65,1281.65,1281.65,1281.65,000,1281.65
2017-03-10,1290.25,1296.00,1261.20,1281.65,5665500,1281.65
2017-03-09,1290.00,1298.00,1281.50,1286.75,7107600,1286.75
2017-03-08,1307.70,1307.70,1286.10,1291.20,9906100,1291.20
2017-03-07,1318.85,1327.00,1296.15,1304.95,9616800,1304.95
2017-03-06,1269.00,1312.00,1265.25,1305.35,15252100,1305.35
2017-03-03,1241.55,1287.80,1241.55,1258.55,19270800,1258.55
2017-03-02,1237.90,1254.70,1227.05,1236.75,4129000,1236.75
2017-03-01,1240.10,1244.40,1230.00,1234.50,5574100,1234.50
2017-02-28,1232.00,1248.00,1228.50,1238.05,8254500,1238.05
2017-02-27,1190.50,1256.80,1190.35,1238.90,19068900,1238.90
2017-02-24,1182.75,1182.75,1182.75,1182.75,000,1182.75
2017-02-23,1213.60,1222.00,1179.35,1182.75,14229200,1182.75
2017-02-22,1093.00,1211.65,1092.00,1207.50,29103900,1207.50
2017-02-21,1075.20,1090.95,1073.05,1088.20,3242700,1088.20
2017-02-20,1070.55,1078.85,1066.50,1075.40,2663100,1075.40
2017-02-17,1066.50,1078.20,1058.45,1075.50,3393800,1075.50
2017-02-16,1052.55,1069.45,1052.55,1067.50,4492800,1067.50
2017-02-15,1052.90,1057.50,1045.25,1051.30,3482800,1051.30
2017-02-14,1035.00,1052.90,1029.90,1049.80,4170400,1049.80
2017-02-13,1033.00,1034.00,1022.00,1029.85,1957900,1029.85
2017-02-10,1035.00,1035.55,1025.55,1030.15,2861500,1030.15
2017-02-09,1028.00,1034.00,1026.80,1032.75,2254200,1032.75
2017-02-08,1030.90,1038.25,1022.00,1025.15,3710000,1025.15
2017-02-07,1042.00,1042.35,1027.20,1030.90,2264200,1030.90
2017-02-06,1037.00,1044.90,1032.05,1041.65,2283900,1041.65
2017-02-03,1046.00,1050.45,1030.10,1033.65,3021700,1033.65
2017-02-02,1050.00,1050.80,1038.25,1043.50,2079900,1043.50
2017-02-01,1046.10,1050.90,1035.20,1049.65,2585700,1049.65
2017-01-31,1046.85,1053.80,1040.30,1045.20,3457300,1045.20
2017-01-30,1024.95,1046.45,1024.80,1044.80,3583700,1044.80
2017-01-27,1020.25,1028.90,1019.00,1025.10,4997200,1025.10
2017-01-26,1017.30,1017.30,1017.30,1017.30,000,1017.30
2017-01-25,1032.00,1032.70,1016.15,1017.30,5453200,1017.30
2017-01-24,1017.00,1028.80,1017.00,1027.30,2153000,1027.30
2017-01-23,1021.80,1031.00,1012.80,1015.90,3133500,1015.90
2017-01-20,1033.95,1037.45,1023.90,1025.80,2008000,1025.80
2017-01-19,1035.15,1045.30,1031.00,1033.70,3493700,1033.70
2017-01-18,1042.60,1048.00,1028.75,1032.55,3627000,1032.55
2017-01-17,1065.00,1068.00,1038.50,1041.25,8968200,1041.25
2017-01-16,1089.95,1093.95,1073.95,1076.25,2746000,1076.25
2017-01-13,1084.55,1097.50,1084.55,1090.40,1653600,1090.40
2017-01-12,1087.00,1090.35,1079.80,1083.30,999300,1083.30
2017-01-11,1095.00,1095.70,1084.00,1086.05,2623200,1086.05
2017-01-10,1080.00,1094.40,1080.00,1089.85,2594400,1089.85
2017-01-09,1077.00,1086.00,1071.00,1077.70,1195200,1077.70
2017-01-06,1074.20,1085.00,1073.10,1074.95,1793400,1074.95
2017-01-05,1071.00,1079.90,1068.75,1077.40,1996400,1077.40
2017-01-04,1092.90,1093.00,1064.30,1067.15,2375500,1067.15
2017-01-03,1089.85,1097.00,1081.10,1089.40,1470700,1089.40
2017-01-02,1084.00,1090.00,1072.35,1085.10,1622400,1085.10
2016-12-30,1064.80,1085.00,1063.10,1082.40,3591400,1082.40
2016-12-29,1050.00,1068.80,1049.50,1065.45,2005200,1065.45
2016-12-28,1067.90,1069.55,1047.10,1049.70,2202900,1049.70
2016-12-27,1047.85,1067.10,1047.00,1064.70,3987100,1064.70
2016-12-26,1054.35,1066.00,1044.65,1047.45,3502200,1047.45
2016-12-23,1052.00,1068.95,1052.00,1057.30,2346400,1057.30
2016-12-22,1058.00,1062.65,1050.95,1053.35,6604400,1053.35
2016-12-21,1060.10,1067.30,1057.20,1063.25,4655700,1063.25
2016-12-20,1054.70,1061.00,1053.15,1057.90,2671700,1057.90
2016-12-19,1055.00,1066.95,1054.35,1062.55,3430900,1062.55
2016-12-16,1052.00,1062.00,1052.00,1057.15,3415500,1057.15
2016-12-15,1052.40,1067.60,1048.65,1052.95,4418900,1052.95
2016-12-14,1039.80,1064.45,1038.20,1059.50,5517800,1059.50
2016-12-13,1028.00,1041.00,1027.55,1039.80,2369400,1039.80
2016-12-12,1020.50,1041.70,1020.50,1027.20,2062700,1027.20
2016-12-09,1022.00,1031.85,1020.30,1028.95,1883300,1028.95
2016-12-08,1005.05,1021.80,1004.35,1020.05,2000200,1020.05
2016-12-07,1004.00,1007.60,996.35,999.15,1127100,999.15
2016-12-06,996.00,1006.55,994.60,1005.20,1537500,1005.20
2016-12-05,995.00,999.70,986.50,993.85,911400,993.85
2016-12-02,995.90,1005.00,991.80,994.75,2853000,994.75
2016-12-01,1000.00,1015.00,995.00,997.75,2886500,997.75
2016-11-30,999.95,999.95,986.65,990.05,6308000,990.05
2016-11-29,989.00,1004.30,988.05,997.70,2259600,997.70
2016-11-28,993.00,1000.60,984.10,986.65,1900100,986.65
2016-11-25,990.00,995.90,984.35,993.70,2389800,993.70
2016-11-24,1005.55,1005.55,982.20,987.35,4323300,987.35
2016-11-23,1005.00,1010.50,999.55,1009.00,2996200,1009.00
2016-11-22,997.70,1007.80,993.30,1001.45,4033600,1001.45
2016-11-21,987.55,993.55,983.20,991.50,3024700,991.50
2016-11-18,985.00,992.70,982.00,987.50,4151900,987.50
2016-11-17,986.00,998.15,974.40,977.75,2886600,977.75
2016-11-16,995.00,996.80,980.70,986.55,3783200,986.55
2016-11-15,996.50,1000.00,979.55,985.40,3311500,985.40
2016-11-14,1001.75,1001.75,1001.75,1001.75,000,1001.75
2016-11-11,997.85,1017.50,995.10,1001.75,3377300,1001.75
2016-11-10,1018.60,1028.95,1007.00,1010.40,2231900,1010.40
2016-11-09,950.00,1009.00,930.00,1004.60,4946500,1004.60
2016-11-08,1005.70,1005.70,998.30,1003.50,3070300,1003.50
2016-11-07,1014.00,1016.55,999.05,1001.15,2172900,1001.15
2016-11-04,1020.25,1026.90,1000.00,1005.55,2636900,1005.55
2016-11-03,1023.85,1034.75,1020.60,1023.95,1671300,1023.95
2016-11-02,1041.00,1042.85,1021.00,1023.75,1609200,1023.75
2016-11-01,1051.30,1055.95,1047.40,1051.00,2337000,1051.00
2016-10-31,1054.95,1054.95,1054.95,1054.95,000,1054.95
2016-10-28,1050.00,1058.00,1043.80,1054.95,1857900,1054.95
2016-10-27,1051.10,1053.90,1043.40,1048.70,2935500,1048.70
2016-10-26,1056.05,1059.45,1052.10,1054.05,2502000,1054.05
2016-10-25,1065.00,1065.25,1054.20,1060.85,1750700,1060.85
2016-10-24,1070.00,1074.00,1060.65,1063.30,2403000,1063.30
2016-10-21,1097.00,1097.00,1058.40,1064.20,9968200,1064.20
2016-10-20,1093.95,1098.00,1084.05,1087.55,2314500,1087.55
2016-10-19,1084.45,1094.70,1081.40,1087.35,3902600,1087.35
2016-10-18,1066.00,1082.75,1062.05,1081.10,2531100,1081.10
2016-10-17,1080.00,1080.80,1058.75,1060.65,2246200,1060.65
2016-10-14,1063.00,1082.00,1061.65,1077.65,3489400,1077.65
2016-10-13,1089.00,1089.05,1052.00,1057.15,5014600,1057.15
2016-10-12,1096.35,1096.35,1096.35,1096.35,000,1096.35
2016-10-11,1096.35,1096.35,1096.35,1096.35,000,1096.35
2016-10-10,1114.00,1122.00,1094.00,1096.35,2640900,1096.35
2016-10-07,1114.00,1123.05,1106.50,1109.00,3492800,1109.00
2016-10-06,1092.00,1126.25,1092.00,1110.80,4825600,1110.80
