Date,Open,High,Low,Close,Volume,Adj Close
2017-04-06,1490.00,1490.00,1468.10,1482.60,3533800,1482.60
2017-04-05,1525.10,1530.00,1486.75,1490.15,4839200,1490.15
2017-04-04,1533.65,1533.65,1533.65,1533.65,000,1533.65
2017-04-03,1509.65,1537.20,1502.05,1533.65,2302400,1533.65
2017-03-31,1520.20,1520.20,1496.55,1502.10,2816500,1502.10
2017-03-30,1520.00,1528.40,1510.55,1519.95,8057100,1519.95
2017-03-29,1510.10,1531.00,1498.50,1522.05,3595200,1522.05
2017-03-28,1477.70,1508.00,1477.10,1504.10,2272700,1504.10
2017-03-27,1455.00,1478.50,1455.00,1474.70,2418600,1474.70
2017-03-24,1458.00,1467.25,1450.00,1462.60,1701100,1462.60
2017-03-23,1444.60,1460.90,1439.85,1456.65,2342000,1456.65
2017-03-22,1449.90,1454.75,1434.05,1442.30,1866900,1442.30
2017-03-21,1452.15,1473.45,1449.35,1458.40,2087400,1458.40
2017-03-20,1449.80,1464.95,1446.95,1457.75,1745700,1457.75
2017-03-17,1458.50,1458.50,1438.70,1451.20,3588000,1451.20
2017-03-16,1431.65,1454.75,1431.15,1450.25,3406700,1450.25
2017-03-15,1425.40,1435.00,1416.65,1426.10,2598500,1426.10
2017-03-14,1415.20,1428.00,1413.30,1424.15,6249500,1424.15
2017-03-13,1373.80,1373.80,1373.80,1373.80,000,1373.80
2017-03-10,1378.00,1383.35,1369.00,1373.80,1607500,1373.80
2017-03-09,1368.25,1381.90,1362.60,1371.50,2205200,1371.50
2017-03-08,1368.10,1376.80,1361.30,1367.70,2330400,1364.70
2017-03-07,1374.40,1374.40,1362.75,1365.40,1507300,1362.4051
2017-03-06,1379.00,1392.00,1362.50,1365.95,2236100,1362.9538
2017-03-03,1392.30,1397.00,1366.00,1371.20,1137200,1368.1923
2017-03-02,1403.00,1415.40,1392.00,1399.00,2671800,1395.9314
2017-03-01,1369.80,1405.00,1369.20,1400.55,2163400,1397.478
2017-02-28,1377.00,1383.95,1368.40,1370.05,2318100,1367.0449
2017-02-27,1389.45,1389.45,1368.10,1375.70,2822000,1372.6824
2017-02-24,1385.70,1385.70,1385.70,1385.70,000,1382.6605
2017-02-23,1401.00,1404.90,1378.00,1385.70,4125700,1382.6605
2017-02-22,1415.00,1415.00,1391.80,1394.10,2494000,1391.0421
2017-02-21,1393.10,1414.00,1389.85,1412.45,734100,1409.3518
2017-02-20,1401.55,1402.85,1386.00,1393.30,1470400,1390.2439
2017-02-17,1425.00,1432.65,1400.20,1402.50,2075300,1399.4237
2017-02-16,1394.15,1403.00,1386.25,1393.55,2017200,1390.4934
