Date,Open,High,Low,Close,Volume,Adj Close
06-04-2017,848,856.55,847,853.5,1044900,853.5
05-04-2017,869,869,846.4,850.5,1789300,850.5
04-04-2017,866.25,866.25,866.25,866.25,0,866.25
03-04-2017,874.1,878.25,858.5,866.25,937300,866.25
31-03-2017,884,890.15,867,874.75,2157200,874.75
30-03-2017,870,881.7,865.05,875.85,1463700,875.85
29-03-2017,865.4,879.5,859.6,877.6,2121200,877.6
28-03-2017,855.55,870.75,852.15,859.9,898100,859.9
27-03-2017,868,873.2,847.05,852.15,1176900,852.15
24-03-2017,872.3,876.5,871.15,873.05,875500,873.05
23-03-2017,871.05,880,868.95,876.65,1424100,876.65
22-03-2017,850.7,874.7,848.5,872.75,1682100,872.75
21-03-2017,865,874.4,851.95,859.3,3683200,859.3
20-03-2017,871.95,879,861.15,864.35,1696400,864.35
17-03-2017,857.25,871,853,865.75,1993500,865.75
16-03-2017,860.8,863.9,849.6,855.4,1845200,855.4
15-03-2017,850.5,855.9,837.25,842.9,1239200,842.9
14-03-2017,865,865,850,853.6,1585800,853.6
13-03-2017,846.35,846.35,846.35,846.35,0,846.35
10-03-2017,849.35,858,840.9,846.35,706300,846.35
09-03-2017,854,854,842.35,844.35,766900,844.35
08-03-2017,857,858,844.25,847.7,729200,847.7
07-03-2017,861.7,861.7,852.2,857.35,747000,857.35
06-03-2017,850.7,867.7,846.1,855.55,1542300,855.55
03-03-2017,844,854.8,835.15,852.9,856200,852.9
02-03-2017,850,853.5,839.3,843.75,867800,843.75
01-03-2017,843,851,839.55,849.1,1096800,849.1
28-02-2017,844,846,835.85,840.1,1143000,840.1
27-02-2017,844.9,851.35,836.05,839.95,1192600,839.95
24-02-2017,842.85,842.85,842.85,842.85,0,842.85
23-02-2017,835,851,835,842.85,3388000,842.85
22-02-2017,852.3,865,830.55,834.2,1743600,834.2
21-02-2017,844.1,862.5,844.1,851.3,1537000,851.3
20-02-2017,842,847,837.25,844,665500,844
17-02-2017,850,850,831.1,839.25,1039800,839.25
16-02-2017,827.25,846.9,827.25,845,1720600,845
15-02-2017,832,838.6,822.6,830.3,997800,830.3
14-02-2017,829.2,834.45,824.5,832,1123200,832
13-02-2017,831,833.65,821,827.3,604600,827.3
10-02-2017,822.1,830,812.3,828.4,1775400,828.4
09-02-2017,810.95,822.3,802.05,819.7,1565100,819.7
08-02-2017,819,819.05,804.75,808.5,1412400,808.5
07-02-2017,824,827.7,812,815.7,1302500,815.7
06-02-2017,835,836.5,816.6,824.1,1092500,824.1
03-02-2017,825,835.7,816.85,830.75,1128500,830.75
02-02-2017,814,834.1,810.15,827.15,1880000,827.15
01-02-2017,805,819.5,778.65,813.95,4516600,813.95
31-01-2017,835.25,837.3,787.1,811.15,4822500,805.15
30-01-2017,831.1,842.4,828.1,840.25,949500,834.0348
27-01-2017,844,849.9,840.65,844.2,1349500,837.9556
26-01-2017,841.25,841.25,841.25,841.25,0,835.0274
25-01-2017,853,857.3,837.55,841.25,1927800,835.0274
24-01-2017,842,854,826.9,848.8,3695300,842.5215
23-01-2017,834,860.5,828,857.3,1984500,850.9586
20-01-2017,840,845,833.7,838.75,1109800,832.5459
19-01-2017,844,851.45,837.6,844.15,1056000,837.906
18-01-2017,837.5,845.55,836.25,844.05,1084300,837.8067
17-01-2017,827,843.5,827,837.75,2049600,831.5533
16-01-2017,847.9,847.9,826.8,830.55,1214600,824.4065
13-01-2017,850.2,857.95,838.6,850.25,2286900,843.9608
12-01-2017,830.05,849.9,830.05,847.7,1645200,841.4297
11-01-2017,839.5,844.5,826.75,833.25,1383000,827.0866
10-01-2017,842.7,844,834.5,837.85,1306900,831.6525
09-01-2017,806.5,840.15,805.95,838.3,1919700,832.0992
06-01-2017,835,840.3,806.75,814.4,2795700,808.376
05-01-2017,860,869.75,840.1,844.65,2078800,838.4023
04-01-2017,835.55,860,833.05,856.95,2116800,850.6113
03-01-2017,831,837,823.5,835.15,718500,828.9725
02-01-2017,823,834,822.3,828.5,421200,822.3717
30-12-2016,822,830,814.9,827.95,1025900,821.8258
29-12-2016,807.1,824.9,805.3,819.35,1780000,813.2893
28-12-2016,810,817.75,804.15,807.05,717200,801.0803
27-12-2016,788.9,809.9,787,804.85,505700,798.8966
26-12-2016,791.9,797.8,783.3,790.4,558500,784.5535
23-12-2016,816,816,791,793.75,1452600,787.8787
22-12-2016,818.3,822.9,806,817.1,791200,811.056
21-12-2016,835,836.8,816.3,820.8,1031800,814.7286
20-12-2016,825,834.15,824.35,830.15,1402200,824.0095
19-12-2016,820.6,826.9,815,824.7,1074000,818.5998
16-12-2016,835.8,835.8,815.2,820.6,1316400,814.5301
15-12-2016,822,840,822,832.15,2800800,825.9947
14-12-2016,806.1,824.3,796.25,820.8,1860500,814.7286
13-12-2016,801.05,803.9,791.2,800.95,938900,795.0255
12-12-2016,796,803.55,790.65,799.8,1505500,793.884
09-12-2016,797,805.9,783.25,803.3,1349700,797.3581
08-12-2016,789,797,783,794.85,1031800,788.9706
07-12-2016,786.7,789.1,771.1,785.35,810800,779.5408
06-12-2016,798,801.5,778.4,780.9,778800,775.1238
05-12-2016,789.55,801.45,782.2,793.4,753600,787.5313
02-12-2016,801.7,816.9,790,793.6,1051600,787.7298
01-12-2016,803.9,806.5,792,803.1,1256300,797.1595
30-11-2016,810,810.45,798,803.8,1531700,797.8544
29-11-2016,806,813.7,799.3,805.3,823600,799.3433
28-11-2016,806,811.15,790.35,806.05,1516500,800.0877
25-11-2016,771.95,812,770.05,801.95,2738600,796.0181
24-11-2016,765,772.65,753,767.8,2093700,762.1207
23-11-2016,763,768.7,756.45,763.45,900800,757.8029
22-11-2016,765,767.5,755.05,762.1,1031800,756.4628
21-11-2016,765,779.5,755.2,758.35,1077800,752.7406
18-11-2016,757.6,778.95,757.6,763.85,1841100,758.1999
17-11-2016,766,776,756,760.15,2688400,754.5273
16-11-2016,776,787.95,764.25,773.85,2281300,768.1259
15-11-2016,765,787,736,770.75,2628700,765.0489
14-11-2016,764.1,764.1,764.1,764.1,0,758.448
11-11-2016,784.85,793,755,764.1,2521700,758.448
10-11-2016,790.05,805.8,776,789.65,1822200,783.8091
09-11-2016,765,797.75,763.15,784.85,2648300,779.0445
08-11-2016,811,815.9,791.25,809,1257300,803.0159
07-11-2016,800,827.5,794.9,817.2,2993700,811.1553
04-11-2016,763,799,763,794.75,2841600,788.8713
03-11-2016,765.9,769.25,760.5,763.1,1203300,757.4554
02-11-2016,765,773,763,764.3,1027000,758.6466
01-11-2016,771.8,776.4,767,772.9,1098100,767.183
31-10-2016,763.15,763.15,763.15,763.15,0,757.5051
28-10-2016,774.15,781.2,760,763.15,2711400,757.5051
27-10-2016,784.8,786.65,771.3,774.3,2025300,768.5726
26-10-2016,801.7,803.85,787.6,790.85,1611700,779.0445
25-10-2016,806.75,811.5,802.5,804.55,1734500,792.54
24-10-2016,831.25,836.9,808.65,810.65,1707200,798.549
21-10-2016,823,848.7,821.25,831.75,5141200,819.334
20-10-2016,829.55,833,812.05,815.55,2488700,803.3758
19-10-2016,834.6,841.65,826,830.55,2139200,818.1519
18-10-2016,812,836.4,812,834.8,1326900,822.3385
17-10-2016,817.6,818,803,808.4,740000,796.3326
14-10-2016,804,822.5,799.85,812.7,1376100,800.5684
13-10-2016,809.8,825.1,790.65,803.3,2076000,791.3087
12-10-2016,813,813,813,813,0,800.8639
11-10-2016,813,813,813,813,0,800.8639
10-10-2016,802,815.85,802,813,769200,800.8639
07-10-2016,802.15,809.45,785.3,806.55,767900,794.5102
