Date,Open,High,Low,Close,Volume,Adj Close
06-10-2016,563,564.2,549,551.25,438400,551.25
07-10-2016,554,567,552.85,565.7,836400,565.7
10-10-2016,570.2,571.05,561,562.1,212400,562.1
11-10-2016,562.1,562.1,562.1,562.1,0,562.1
12-10-2016,562.1,562.1,562.1,562.1,0,562.1
13-10-2016,558.65,559.4,537.05,544.3,893800,544.3
14-10-2016,546.9,557.25,546.1,555.45,528100,555.45
17-10-2016,557.5,558.1,545.2,547.05,245300,547.05
18-10-2016,550,555.5,549,553.55,321200,553.55
19-10-2016,551.8,554.5,545.1,550.25,507100,550.25
20-10-2016,554,554.4,546.5,547.3,425300,547.3
21-10-2016,547.5,550.1,542,544.55,301500,544.55
24-10-2016,545.1,563,543.5,559.1,545700,559.1
25-10-2016,547.7,560.85,547.7,553.1,570600,553.1
26-10-2016,550.85,550.85,523.95,529.5,738400,529.5
27-10-2016,514,525.65,510.65,521.85,925900,521.85
28-10-2016,526,539.15,525.05,535.85,459100,535.85
31-10-2016,535.85,535.85,535.85,535.85,0,535.85
01-11-2016,533,538.3,525.2,530.95,657000,530.95
02-11-2016,525,526.5,513,514,769800,514
03-11-2016,511.7,521.5,506,510.25,628200,510.25
04-11-2016,510,515.95,501.85,512.1,588100,512.1
07-11-2016,513,520.9,505.5,507.3,501400,507.3
08-11-2016,517,542.25,516.3,540.2,1194700,540.2
09-11-2016,501,543.4,500,534.4,926100,534.4
10-11-2016,536.9,549.2,532,534.15,648700,534.15
11-11-2016,529.8,530,505.25,507.4,517900,507.4
14-11-2016,507.4,507.4,507.4,507.4,0,507.4
15-11-2016,485.7,486.7,451.6,457.25,1176100,457.25
16-11-2016,467,471.5,450,457.9,749800,457.9
17-11-2016,461,476.2,459.8,472.6,1197500,472.6
18-11-2016,470,473.5,462.1,471,426500,471
21-11-2016,468.5,472.6,451.55,456.9,430100,456.9
22-11-2016,463.3,471.15,453.5,464.9,406000,464.9
23-11-2016,467,475,462.1,471.4,364400,471.4
24-11-2016,468,468,450,453.05,557500,453.05
25-11-2016,454.9,456,443.65,453.25,663400,453.25
28-11-2016,454.8,459.95,451,454.8,323500,454.8
29-11-2016,456.7,465.9,453.35,459.8,431400,459.8
30-11-2016,460,463.9,455.4,459.35,399300,459.35
01-12-2016,458,458.45,446.4,448.15,469900,448.15
02-12-2016,445,453.8,431.2,433.05,1248500,433.05
05-12-2016,434.6,441,429,439.6,564500,439.6
06-12-2016,440,445.8,438.2,441.35,389600,441.35
07-12-2016,440,448.9,439.25,445.25,356600,445.25
08-12-2016,449,464.8,449,461.3,789600,461.3
09-12-2016,462.55,468.4,460.4,464.05,366200,464.05
12-12-2016,463.5,463.5,451.05,454.55,293700,454.55
13-12-2016,476.8,477,461.8,470.35,1421500,470.35
14-12-2016,471.95,476.6,462.8,472.6,590500,472.6
15-12-2016,469.05,473.2,462,463.45,494300,463.45
16-12-2016,464.05,475,464.05,472.5,511500,472.5
19-12-2016,471,478.15,465.8,471.7,342000,471.7
20-12-2016,472.55,475,469.5,472.8,241800,472.8
21-12-2016,472.8,474.85,467.5,468.75,199800,468.75
22-12-2016,468.8,472.9,465.25,469.65,389800,469.65
23-12-2016,466.4,468.3,460,466.15,365900,466.15
26-12-2016,464.25,464.55,455.8,458.3,228900,458.3
27-12-2016,459.05,467.9,457.6,466.5,232200,466.5
28-12-2016,467,467.85,462,463.15,209000,463.15
29-12-2016,464.9,472.4,459.35,470.75,217900,470.75
30-12-2016,471.25,475,467.55,471.35,354300,471.35
02-01-2017,474.95,488.5,469.2,487.25,415700,487.25
03-01-2017,491,492.75,479.45,481.25,823200,481.25
04-01-2017,485,493.6,484.6,486.5,414700,486.5
05-01-2017,496.1,503.2,495,501.95,539000,501.95
06-01-2017,506,507.85,496.4,497.8,451000,497.8
09-01-2017,500.1,504.45,492.55,500.35,391600,500.35
10-01-2017,505.7,516.55,505.1,515.3,767700,515.3
11-01-2017,518.2,525,517.3,518.9,375600,518.9
12-01-2017,519.05,524,513.25,518.35,378600,518.35
13-01-2017,520.1,523.5,507.4,514.65,393100,514.65
16-01-2017,517.2,529.2,517.2,526.55,473400,526.55
17-01-2017,527.05,530.65,521,523.25,398800,523.25
18-01-2017,524.9,529.6,521.5,523.15,1689900,523.15
19-01-2017,523.15,535,523.15,530.7,446600,530.7
20-01-2017,529,529.2,521.75,523.15,169600,523.15
23-01-2017,522,534.55,522,532.15,263300,532.15
24-01-2017,533,542.85,532.6,541.4,449500,541.4
25-01-2017,542.1,550,541.7,548,245400,548
26-01-2017,548,548,548,548,0,548
27-01-2017,552.45,553,539.9,544.35,575400,544.35
30-01-2017,542,543.2,530.85,532.5,182000,532.5
31-01-2017,531.5,531.5,518,523.6,285900,523.6
01-02-2017,525.55,544.8,523,541.7,308700,541.7
02-02-2017,541.9,541.9,527.05,530.85,1405000,530.85
03-02-2017,534.4,534.4,520,522.5,322700,522.5
06-02-2017,524.5,531.35,523.7,525.3,228600,525.3
07-02-2017,527.8,527.8,501.95,506.8,726800,506.8
08-02-2017,510.2,515,507,513,355400,513
09-02-2017,517.7,518.15,506.15,512.8,379400,512.8
10-02-2017,512.5,514.7,506.6,509.4,345600,509.4
13-02-2017,512,513,503.8,505.4,286200,505.4
14-02-2017,503.85,506.4,468.3,486.8,1242200,486.8
15-02-2017,449,453.25,435,436.55,3628600,436.55
16-02-2017,442,447.75,436,445.9,968100,445.9
17-02-2017,448.9,456.8,442.75,452.7,926500,452.7
20-02-2017,452,458.25,449.45,455.5,533900,455.5
21-02-2017,458,462.75,454.7,458.95,648200,458.95
22-02-2017,461,466.7,456.65,460.15,653400,460.15
23-02-2017,464,464.9,457.65,462,559200,462
24-02-2017,462,462,462,462,0,462
27-02-2017,465,465,455.1,457.3,709400,457.3
28-02-2017,459.7,459.7,454.1,456.15,252300,456.15
01-03-2017,457.5,457.5,448,449.1,467900,449.1
02-03-2017,458.8,467.9,453.3,461.05,1049700,461.05
03-03-2017,463,467,458.7,460.1,420200,460.1
06-03-2017,462,472.3,462,470.7,489600,470.7
07-03-2017,470.7,475.8,465.5,467.1,507500,467.1
08-03-2017,470,470,461.4,462.65,338600,462.65
09-03-2017,462.6,469.8,461.5,467.6,338500,467.6
10-03-2017,472,472,465.3,468.95,407700,468.95
13-03-2017,468.95,468.95,468.95,468.95,0,468.95
14-03-2017,480,482.5,468.7,469.65,662800,469.65
15-03-2017,474.25,476.5,470.65,473.35,476600,473.35
16-03-2017,476.9,481.5,476.15,480.4,1833900,480.4
17-03-2017,482.6,484.3,472.4,476.35,314900,476.35
20-03-2017,477.4,478.2,471.3,476.05,281700,476.05
21-03-2017,476,477.35,470.7,473.35,206100,473.35
22-03-2017,471,471,458.6,459.9,427500,459.9
23-03-2017,460.7,475.9,460.7,471.8,449700,471.8
24-03-2017,472,474.7,467.65,470.5,313700,470.5
27-03-2017,470,470,462.4,465.5,941100,465.5
28-03-2017,469.9,473.1,468,472.4,195200,472.4
29-03-2017,475,475,463.75,469.1,504600,469.1
30-03-2017,464.7,469.7,463,468.4,672000,468.4
31-03-2017,467,472.5,464.1,465.95,797600,465.95
03-04-2017,469,472.25,467.75,470.45,396100,470.45
04-04-2017,470.45,470.45,470.45,470.45,0,470.45
05-04-2017,473,474.95,467.15,473.55,283700,473.55
