Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,488.00,498.20,486.65,493.30,4919600,493.30
2017-04-04,485.85,485.85,485.85,485.85,000,485.85
2017-04-03,486.00,489.90,482.80,485.85,3140200,485.85
2017-03-31,480.65,485.90,479.05,482.70,3215300,482.70
2017-03-30,484.40,486.35,475.80,477.50,4642400,477.50
2017-03-29,482.00,484.90,480.25,484.40,3264300,484.40
2017-03-28,477.55,482.65,477.00,480.20,4396500,480.20
2017-03-27,492.75,492.75,474.65,476.50,6189900,476.50
2017-03-24,496.05,499.90,491.10,493.20,3082100,493.20
2017-03-23,487.50,496.60,487.50,495.50,4126900,495.50
2017-03-22,490.00,493.80,486.40,488.10,4652300,488.10
2017-03-21,496.90,501.30,492.35,496.40,4967600,496.40
2017-03-20,502.50,502.70,492.00,496.65,3995500,496.65
2017-03-17,503.85,508.75,498.10,502.20,6800300,502.20
2017-03-16,484.85,501.00,481.95,499.65,10391700,499.65
2017-03-15,473.95,480.00,470.40,479.05,5561800,479.05
2017-03-14,479.00,479.00,470.45,472.55,5565500,472.55
2017-03-13,467.75,467.75,467.75,467.75,000,467.75
2017-03-10,468.50,474.40,462.20,467.75,4523600,467.75
2017-03-09,471.90,475.35,467.70,469.45,4495700,469.45
2017-03-08,484.90,486.40,470.10,472.45,5935300,472.45
2017-03-07,493.50,494.00,480.65,482.00,5123100,482.00
2017-03-06,495.10,501.00,490.25,492.70,4153400,492.70
2017-03-03,494.55,497.75,489.55,495.10,3357900,495.10
2017-03-02,502.00,505.60,492.25,494.65,5722500,494.65
2017-03-01,485.00,502.50,483.40,500.35,7716500,500.35
2017-02-28,481.50,485.75,480.45,482.70,3402800,482.70
2017-02-27,485.20,488.15,479.50,480.60,2730800,480.60
2017-02-24,485.75,485.75,485.75,485.75,000,485.75
2017-02-23,485.10,487.90,478.15,485.75,4810400,485.75
2017-02-22,490.45,491.45,480.60,484.05,5010500,484.05
2017-02-21,488.95,495.90,485.00,490.95,8063700,490.95
2017-02-20,468.00,489.00,464.75,487.05,8441100,487.05
