Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,2419.90,2419.90,2395.00,2401.25,1452700,2401.25
2017-04-04,2411.70,2411.70,2411.70,2411.70,000,2411.70
2017-04-03,2435.00,2435.00,2408.20,2411.70,598400,2411.70
2017-03-31,2438.40,2440.85,2415.00,2431.80,933500,2431.80
2017-03-30,2444.90,2465.00,2435.00,2441.00,1493000,2441.00
2017-03-29,2436.00,2450.80,2425.60,2444.60,858800,2444.60
2017-03-28,2410.00,2443.40,2410.00,2429.95,576500,2429.95
2017-03-27,2426.95,2440.00,2406.00,2412.05,1090600,2412.05
2017-03-24,2469.80,2469.80,2423.30,2427.20,2549900,2427.20
2017-03-23,2482.00,2485.05,2447.20,2460.35,1310300,2460.35
2017-03-22,2480.15,2496.00,2469.95,2478.95,944300,2478.95
2017-03-21,2482.00,2492.00,2465.00,2486.70,1686800,2486.70
2017-03-20,2525.95,2525.95,2466.00,2480.00,1743700,2480.00
2017-03-17,2546.00,2546.00,2509.75,2525.75,1296500,2525.75
2017-03-16,2506.00,2527.00,2506.00,2520.90,785900,2520.90
2017-03-15,2572.00,2572.15,2493.85,2498.30,1511200,2498.30
2017-03-14,2556.80,2587.15,2551.05,2567.50,1701100,2567.50
2017-03-13,2542.25,2542.25,2542.25,2542.25,000,2542.25
2017-03-10,2519.60,2549.55,2513.95,2542.25,585700,2542.25
2017-03-09,2514.15,2524.00,2504.05,2519.75,429200,2519.75
2017-03-08,2502.00,2520.00,2492.20,2512.20,895700,2512.20
2017-03-07,2482.90,2505.00,2475.05,2499.80,755800,2499.80
2017-03-06,2480.00,2484.00,2454.55,2472.50,700300,2472.50
2017-03-03,2492.00,2499.70,2475.40,2494.05,506900,2494.05
2017-03-02,2486.70,2510.00,2470.05,2501.45,772400,2501.45
2017-03-01,2479.90,2501.90,2470.00,2479.55,565100,2479.55
2017-02-28,2489.50,2490.00,2450.00,2466.25,1177400,2466.25
2017-02-27,2479.10,2502.00,2470.05,2489.85,1069900,2489.85
2017-02-24,2481.80,2481.80,2481.80,2481.80,000,2481.80
2017-02-23,2415.00,2493.25,2415.00,2481.80,2426600,2481.80
2017-02-22,2465.90,2470.00,2400.15,2411.50,2252700,2411.50
2017-02-21,2514.00,2525.90,2455.15,2465.35,2750500,2465.35
2017-02-20,2425.00,2555.00,2408.10,2502.20,1986900,2502.20
2017-02-17,2472.00,2475.60,2402.00,2407.90,1361600,2407.90
2017-02-16,2460.00,2478.00,2435.60,2447.75,2087800,2447.75
2017-02-15,2397.00,2428.00,2375.10,2413.70,962400,2413.70
2017-02-14,2419.65,2419.65,2398.00,2406.25,1016600,2406.25
2017-02-13,2396.00,2429.00,2382.35,2414.25,1909900,2414.25
2017-02-10,2311.00,2424.45,2311.00,2397.95,2891000,2397.95
2017-02-09,2275.00,2328.00,2270.20,2317.30,2016600,2317.30
2017-02-08,2244.90,2282.60,2244.05,2270.95,1106200,2270.95
2017-02-07,2244.00,2252.60,2226.00,2244.60,907300,2244.60
2017-02-06,2258.00,2258.50,2214.95,2240.75,1204400,2240.75
2017-02-03,2209.70,2243.00,2191.00,2232.55,1076600,2232.55
