Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,454.00,456.60,445.45,446.95,2902900,446.95
2017-04-04,453.10,453.10,453.10,453.10,000,453.10
2017-04-03,457.00,459.00,450.75,453.10,1914400,453.10
2017-03-31,462.00,464.00,454.60,459.15,2581900,459.15
2017-03-30,459.50,463.50,455.50,461.20,4028800,461.20
2017-03-29,459.00,459.90,451.20,458.25,3227100,458.25
2017-03-28,471.70,471.70,454.65,455.70,5722200,455.70
2017-03-27,474.00,477.65,463.20,468.80,2457100,468.80
2017-03-24,482.00,482.00,472.00,474.15,2203300,474.15
2017-03-23,476.90,483.50,475.60,482.15,3259700,482.15
2017-03-22,477.00,479.50,472.85,475.40,2797500,475.40
2017-03-21,482.00,484.50,475.05,476.95,4422800,476.95
2017-03-20,483.00,491.00,480.10,481.90,3734200,481.90
2017-03-17,485.50,487.80,469.35,484.25,5857400,484.25
2017-03-16,482.00,483.85,478.50,481.10,4191300,481.10
2017-03-15,483.40,484.75,471.60,479.65,3941500,479.65
2017-03-14,482.00,485.90,476.20,479.85,4483100,479.85
2017-03-13,475.80,475.80,475.80,475.80,000,475.80
2017-03-10,493.50,497.30,474.50,475.80,3875700,475.80
2017-03-09,493.00,495.50,487.55,488.95,1752300,488.95
2017-03-08,499.50,503.10,488.10,491.90,1430400,491.90
2017-03-07,506.00,507.25,498.60,499.95,3221100,499.95
2017-03-06,499.80,505.75,494.60,499.95,1234100,499.95
2017-03-03,501.10,505.35,500.00,503.70,2136800,503.70
2017-03-02,503.00,505.05,497.30,499.90,2392400,499.90
2017-03-01,488.95,502.20,487.95,499.75,1979400,499.75
2017-02-28,506.00,509.00,488.45,499.40,31171400,499.40
2017-02-27,500.25,510.05,495.00,499.80,2250200,499.80
2017-02-24,503.65,503.65,503.65,503.65,000,503.65
2017-02-23,508.00,515.00,499.80,503.65,5868500,503.65
2017-02-22,508.50,511.40,503.60,507.95,3036400,507.95
2017-02-21,500.00,515.25,500.00,507.90,3268800,507.90
2017-02-20,503.55,507.40,497.00,499.95,2610900,499.95
2017-02-17,502.30,505.00,496.00,503.50,1688500,503.50
2017-02-16,494.05,505.50,494.05,504.50,2591400,504.50
2017-02-15,503.25,511.60,489.10,495.65,2584100,495.65
2017-02-14,501.00,508.55,500.35,504.60,2664700,504.60
2017-02-13,500.00,504.70,495.50,499.65,1903800,499.65
2017-02-10,490.00,503.50,486.00,499.90,7225400,499.90
2017-02-09,477.90,486.75,474.50,485.00,3013000,485.00
2017-02-08,470.00,483.75,468.80,474.60,1754200,474.60
2017-02-07,480.00,480.00,469.10,470.85,1794300,470.85
2017-02-06,481.05,488.60,471.20,477.50,2105300,477.50
2017-02-03,464.10,482.00,464.10,480.45,2677000,480.45
2017-02-02,449.70,465.00,440.00,461.10,3771000,461.10
2017-02-01,452.25,457.00,436.45,449.70,4061000,449.70
2017-01-31,484.70,484.70,425.50,452.20,7804600,452.20
2017-01-30,467.00,478.00,461.20,471.60,3024000,471.60
2017-01-27,465.40,470.60,463.20,467.10,1795000,467.10
2017-01-26,465.65,465.65,465.65,465.65,000,465.65
2017-01-25,470.25,473.75,462.20,465.65,3368700,465.65
2017-01-24,471.40,473.50,465.40,469.90,1255900,469.90
2017-01-23,465.00,471.80,460.80,469.70,1400600,469.70
2017-01-20,476.00,484.00,466.00,468.65,1442100,468.65
2017-01-19,480.00,485.25,477.45,481.40,1586500,481.40
2017-01-18,488.00,494.90,481.50,483.65,1336500,483.65
2017-01-17,488.00,495.00,484.70,486.75,1233800,486.75
2017-01-16,488.25,490.55,479.00,487.15,1258500,487.15
2017-01-13,484.20,492.90,481.90,488.50,2754700,488.50
2017-01-12,475.00,486.80,472.20,481.20,1970000,481.20
2017-01-11,473.30,478.45,469.00,474.05,2058600,474.05
2017-01-10,474.35,475.00,467.65,473.50,1634800,473.50
2017-01-09,465.05,477.90,462.00,473.45,1812400,473.45
2017-01-06,487.50,487.90,466.20,469.75,3307500,469.75
2017-01-05,505.00,507.00,485.95,488.10,2295800,488.10
2017-01-04,490.00,504.50,488.55,500.60,1989100,500.60
2017-01-03,488.70,495.00,487.20,491.55,1006500,491.55
2017-01-02,494.50,496.90,486.50,488.00,1203100,488.00
2016-12-30,482.00,493.00,482.00,488.90,1817100,488.90
2016-12-29,471.05,484.45,469.50,482.70,2079900,482.70
2016-12-28,469.00,477.00,469.00,474.15,1658300,474.15
2016-12-27,460.50,474.00,460.05,468.20,1061500,468.20
2016-12-26,463.25,468.05,460.40,463.60,572300,463.60
2016-12-23,474.00,477.45,465.25,467.10,942200,467.10
2016-12-22,472.30,477.20,464.55,473.95,932700,473.95
2016-12-21,478.00,479.60,472.50,474.45,667500,474.45
2016-12-20,476.90,480.75,473.65,476.75,1919700,476.75
2016-12-19,474.00,475.60,470.45,473.35,1389000,473.35
2016-12-16,481.40,482.10,475.00,477.15,2185700,477.15
2016-12-15,475.25,482.00,468.05,477.45,3292400,477.45
2016-12-14,484.00,487.00,473.35,476.65,1702300,476.65
2016-12-13,470.00,487.50,467.30,484.55,1863400,484.55
2016-12-12,473.95,474.05,466.70,469.40,709900,469.40
2016-12-09,467.00,474.95,465.00,471.70,2017000,471.70
2016-12-08,459.90,465.60,457.10,463.75,1158600,463.75
2016-12-07,468.85,470.00,453.75,455.60,1540200,455.60
2016-12-06,463.00,469.50,462.40,465.45,1073600,465.45
2016-12-05,467.00,476.60,459.35,462.40,1727400,462.40
2016-12-02,477.00,481.95,471.00,473.40,2450500,473.40
2016-12-01,480.05,485.20,471.40,475.05,2059500,475.05
2016-11-30,487.25,489.80,481.35,485.20,2604800,485.20
2016-11-29,489.40,494.40,481.30,483.85,2029100,483.85
2016-11-28,485.95,495.85,482.50,489.35,2279400,489.35
2016-11-25,461.90,489.50,461.15,487.25,4561900,487.25
2016-11-24,450.70,464.50,450.10,458.65,2574400,458.65
2016-11-23,457.00,458.95,448.05,453.10,1950800,453.10
2016-11-22,448.00,455.00,446.20,453.40,2409600,453.40
2016-11-21,445.90,452.00,440.90,447.15,2718900,447.15
2016-11-18,440.00,449.00,437.80,445.30,2041600,445.30
2016-11-17,447.00,455.00,439.50,441.85,2616300,441.85
2016-11-16,434.00,448.00,433.00,443.60,9156100,443.60
2016-11-15,435.00,437.20,427.30,430.95,6787200,430.95
2016-11-14,429.40,429.40,429.40,429.40,000,429.40
2016-11-11,440.00,440.00,428.00,429.40,1161600,429.40
2016-11-10,447.50,449.15,435.00,442.25,3301200,442.25
2016-11-09,419.90,444.00,409.00,434.50,4852400,434.50
2016-11-08,446.20,455.80,445.35,454.15,5501800,454.15
2016-11-07,435.00,449.45,430.55,444.85,7039200,444.85
2016-11-04,428.00,434.90,414.80,430.05,7835800,430.05
2016-11-03,431.00,432.00,424.00,428.00,2159000,428.00
2016-11-02,422.25,433.45,422.25,429.80,3387300,429.80
2016-11-01,436.00,436.00,429.55,433.55,4643900,433.55
2016-10-31,435.65,435.65,435.65,435.65,000,435.65
2016-10-28,429.00,444.00,429.00,435.65,12710300,435.65
2016-10-27,423.00,426.55,412.65,414.10,3706800,414.10
2016-10-26,434.00,435.00,421.95,423.05,2685900,423.05
2016-10-25,431.00,437.75,429.30,434.05,1684600,434.05
2016-10-24,436.00,438.50,427.60,429.15,2292100,429.15
2016-10-21,428.85,436.10,422.20,434.10,4853200,434.10
2016-10-20,424.25,429.20,421.20,425.00,2133600,425.00
2016-10-19,427.85,436.45,419.10,424.90,4525000,424.90
2016-10-18,408.00,430.80,405.75,425.10,7264100,425.10
2016-10-17,421.00,421.00,405.50,408.55,3248100,408.55
2016-10-14,423.50,429.65,418.00,419.10,6379600,419.10
2016-10-13,421.70,424.70,417.50,422.20,2473000,422.20
2016-10-12,421.85,421.85,421.85,421.85,000,421.85
2016-10-11,421.85,421.85,421.85,421.85,000,421.85
2016-10-10,421.50,424.80,417.00,421.85,997500,421.85
2016-10-07,421.90,424.40,417.20,419.75,1562900,419.75
2016-10-06,425.00,428.65,419.15,420.75,1559000,420.75
