Date,Open,High,Low,Close,Volume,Adj Close
2017-04-05,506.00,512.00,502.10001,510.64999,1219200,510.64999
2017-04-04,507.10001,507.10001,507.10001,507.10001,000,507.10001
2017-04-03,516.45001,516.50,505.64999,507.10001,780000,507.10001
2017-03-31,512.20001,517.65002,509.79999,515.70001,1511500,515.70001
2017-03-30,510.75,518.70001,506.39999,515.95001,2679400,515.95001
2017-03-29,508.45001,513.90002,502.20001,512.25,1008800,512.25
2017-03-28,505.00,511.00,502.70001,507.54999,623100,507.54999
2017-03-27,508.35001,512.45001,502.79999,504.00,981100,504.00
2017-03-24,509.45001,514.00,509.45001,513.25,1511600,513.25
2017-03-23,503.00,512.00,500.89999,510.00,2798000,510.00
2017-03-22,493.50,503.39999,492.00,500.54999,1991200,500.54999
2017-03-21,493.10001,502.00,493.10001,498.64999,1115800,498.64999
2017-03-20,504.00,504.25,495.20001,497.50,703400,497.50
2017-03-17,504.00,507.00,498.95001,504.25,1664200,504.25
2017-03-16,497.29999,502.89999,495.00,500.54999,1659100,500.54999
2017-03-15,505.70001,505.89999,492.39999,494.79999,1801400,494.79999
2017-03-14,490.00,504.60001,489.39999,501.35001,1228700,501.35001
2017-03-13,487.04999,487.04999,487.04999,487.04999,000,487.04999
2017-03-10,485.10001,488.95001,483.60001,487.04999,546400,487.04999
2017-03-09,493.00,493.00,483.35001,484.50,704800,484.50
2017-03-08,494.64999,496.20001,489.29999,495.10001,574600,495.10001
2017-03-07,493.50,499.60001,491.89999,495.14999,1650200,495.14999
2017-03-06,491.29999,492.64999,488.60001,491.89999,589300,491.89999
2017-03-03,490.79999,495.64999,487.20001,493.85001,740100,493.85001
2017-03-02,494.00,495.45001,488.10001,490.20001,1016800,490.20001
2017-03-01,488.00,495.14999,485.79999,488.54999,1017400,488.54999
2017-02-28,490.00,492.20001,487.04999,488.79999,1012700,488.79999
2017-02-27,480.00,492.60001,479.64999,489.75,1411500,489.75
2017-02-24,486.10001,486.10001,486.10001,486.10001,000,486.10001
2017-02-23,474.50,489.25,471.54999,486.10001,1630100,486.10001
2017-02-22,475.10001,477.54999,470.20001,474.50,1042200,474.50
2017-02-21,475.00,480.75,474.14999,475.79999,1280500,475.79999
2017-02-20,475.00,477.39999,473.04999,475.64999,572700,475.64999
2017-02-17,482.00,483.64999,474.04999,475.35001,789500,475.35001
2017-02-16,473.00,481.89999,473.00,480.79999,1062500,480.79999
2017-02-15,476.54999,479.29999,468.60001,474.70001,1057500,474.70001
2017-02-14,477.14999,477.70001,472.20001,476.70001,866000,476.70001
2017-02-13,468.00,476.00,467.25,474.45001,848100,474.45001
2017-02-10,467.35001,472.20001,464.39999,469.25,767500,469.25
2017-02-09,458.29999,466.85001,457.35001,466.00,988900,466.00
2017-02-08,458.35001,465.14999,457.10001,460.50,1313900,460.50
2017-02-07,462.00,462.00,455.54999,458.54999,836200,458.54999
2017-02-06,458.64999,462.79999,454.50,461.10001,1237400,461.10001
2017-02-03,456.00,459.60001,454.10001,457.75,877900,457.75
2017-02-02,456.00,457.95001,446.10001,455.64999,1532200,455.64999
2017-02-01,461.00,461.00,450.00,456.00,1640700,454.00001
2017-01-31,465.79999,465.79999,445.35001,458.00,2742800,455.99124
2017-01-30,464.00,468.00,457.50,465.75,1847600,463.70724
2017-01-27,469.50,473.70001,464.29999,465.54999,1926000,463.50811
2017-01-26,473.70001,473.70001,473.70001,473.70001,000,471.62239
2017-01-25,482.00,484.00,471.20001,473.70001,2044900,471.62239
2017-01-24,482.64999,483.00,476.00,481.50,735200,479.38817
2017-01-23,472.54999,484.29999,471.75,479.75,1145300,477.64584
2017-01-20,476.54999,479.79999,475.00,477.89999,764400,475.80395
2017-01-19,483.39999,484.45001,475.25,479.00,897200,476.89913
2017-01-18,482.39999,487.00,480.00,482.95001,536900,480.83182
2017-01-17,485.35001,487.70001,480.50,482.39999,552900,480.28421
2017-01-16,482.89999,487.70001,479.79999,484.75,605100,482.62391
2017-01-13,485.10001,486.45001,480.35001,484.64999,810500,482.52434
2017-01-12,476.00,484.25,474.25,483.20001,701500,481.08072
2017-01-11,477.89999,481.50,475.00,476.20001,845000,474.11142
