Date,Open,High,Low,Close,Volume,Adj Close
06-10-2016,1229,1295,1229,1280.25,568800,1280.25
07-10-2016,1275,1284.65,1266.4,1275.1,138900,1275.1
10-10-2016,1276,1289,1274.5,1279.45,82400,1279.45
11-10-2016,1279.45,1279.45,1279.45,1279.45,0,1279.45
12-10-2016,1279.45,1279.45,1279.45,1279.45,0,1279.45
13-10-2016,1269,1282.6,1235.25,1255,210200,1255
14-10-2016,1260.1,1267.5,1244,1259.95,156400,1259.95
17-10-2016,1261,1267.5,1243,1250.85,137500,1250.85
18-10-2016,1258,1296.3,1257,1291.3,212300,1291.3
19-10-2016,1295,1308.25,1278.75,1291.85,306600,1291.85
20-10-2016,1300,1323,1298.5,1308.8,646100,1308.8
21-10-2016,1316,1319.85,1298,1317.05,309500,1317.05
24-10-2016,1318,1327.5,1305.1,1308.75,192100,1308.75
25-10-2016,1301,1311.85,1298.85,1307.85,145600,1307.85
26-10-2016,1295,1312.95,1283,1288.8,300200,1288.8
27-10-2016,1292,1299,1242.55,1254.25,215700,1254.25
28-10-2016,1265,1277.5,1258.25,1271.9,217400,1271.9
31-10-2016,1271.9,1271.9,1271.9,1271.9,0,1271.9
01-11-2016,1275,1275,1246.3,1249.55,115000,1249.55
02-11-2016,1240.15,1240.15,1201,1210.8,153800,1210.8
03-11-2016,1206.1,1247,1193.1,1207.35,172400,1207.35
04-11-2016,1209,1214.95,1174.4,1196.4,186300,1196.4
07-11-2016,1205,1231.75,1202.9,1205.95,144000,1205.95
08-11-2016,1210.1,1235.7,1197,1223.95,150300,1223.95
09-11-2016,1151,1229.95,1122.9,1219.2,451900,1219.2
10-11-2016,1240,1313.6,1234.15,1290.7,418600,1290.7
11-11-2016,1260,1285.45,1210,1215.5,885300,1215.5
14-11-2016,1215.5,1215.5,1215.5,1215.5,0,1215.5
15-11-2016,1218.7,1218.7,1150,1158.85,478600,1158.85
16-11-2016,1168,1198.9,1133.4,1179.4,367300,1179.4
17-11-2016,1200,1208.6,1166.05,1174.55,253600,1174.55
18-11-2016,1180,1186,1161,1179.85,209300,1179.85
21-11-2016,1182,1189.95,1105.65,1112.5,256900,1112.5
22-11-2016,1124,1139.9,1095.5,1131.7,269600,1131.7
23-11-2016,1136,1145,1119.4,1125.7,146100,1125.7
24-11-2016,1126,1128.9,1109.75,1118.6,172800,1118.6
25-11-2016,1131,1172.1,1124.05,1167.5,237700,1167.5
28-11-2016,1141,1175,1135,1148.95,324200,1148.95
29-11-2016,1154,1163.35,1141.45,1144.2,181400,1144.2
30-11-2016,1149,1176.7,1145.6,1171.4,248500,1171.4
01-12-2016,1177,1184.75,1157.25,1161.6,172100,1161.6
02-12-2016,1154,1164.15,1143.9,1150,399300,1150
05-12-2016,1170,1188,1150.1,1183.2,140500,1183.2
06-12-2016,1184,1205.95,1177.15,1193,276700,1193
07-12-2016,1193,1219.9,1175.6,1189.65,343100,1189.65
08-12-2016,1194.9,1217,1191.05,1213.1,130100,1213.1
09-12-2016,1213,1225,1204.5,1218.65,186500,1218.65
12-12-2016,1205.5,1216.8,1188,1192.7,172000,1192.7
13-12-2016,1195,1209.4,1180.95,1206.65,160700,1206.65
14-12-2016,1200,1210,1194.85,1197.35,100500,1197.35
15-12-2016,1194,1204.5,1180,1186.45,165400,1186.45
16-12-2016,1190.1,1195.85,1173,1181.3,234300,1181.3
19-12-2016,1182,1188.3,1175.6,1180.8,113100,1180.8
20-12-2016,1182.1,1183.85,1143.3,1147.95,229200,1147.95
21-12-2016,1154.9,1155.9,1135.2,1138.3,228300,1138.3
22-12-2016,1135,1135,1115.05,1126.85,174100,1126.85
23-12-2016,1121,1140,1120,1124.65,245300,1124.65
26-12-2016,1124,1124,1091.25,1101.5,163700,1101.5
27-12-2016,1105,1131.4,1100.6,1126,93900,1126
28-12-2016,1136,1138.75,1111,1113.9,112100,1113.9
29-12-2016,1111.95,1155,1106.25,1148.85,146800,1148.85
30-12-2016,1148,1161.5,1145.5,1156.3,149600,1156.3
02-01-2017,1159.9,1161.95,1131.5,1144.05,148800,1144.05
03-01-2017,1144,1172.25,1140.75,1162.85,153800,1162.85
04-01-2017,1165,1172.5,1159,1163.35,76700,1163.35
05-01-2017,1175,1218.95,1169,1209.7,312700,1209.7
06-01-2017,1214,1250.9,1214,1247.2,256200,1247.2
09-01-2017,1251,1267.25,1248.4,1254.05,173500,1254.05
10-01-2017,1254,1267.7,1251.6,1262.55,92200,1262.55
11-01-2017,1271,1322.1,1271,1317.8,280100,1317.8
12-01-2017,1321,1342.95,1318,1324.75,206300,1324.75
13-01-2017,1328.2,1341,1307.3,1317.85,319800,1317.85
16-01-2017,1316,1336,1311.55,1329.65,114000,1329.65
17-01-2017,1333,1335.75,1316,1324.9,99700,1324.9
18-01-2017,1325,1350.3,1325,1346.3,151500,1346.3
19-01-2017,1345.05,1356.45,1332.1,1347.15,411600,1347.15
20-01-2017,1356,1378.3,1351.35,1358.65,298600,1358.65
23-01-2017,1360,1387,1360,1381.1,210300,1381.1
24-01-2017,1385.1,1413,1347.1,1359.85,373600,1359.85
25-01-2017,1363,1410,1363,1406,253100,1406
26-01-2017,1406,1406,1406,1406,0,1406
27-01-2017,1406.5,1421.55,1391,1399.35,281900,1399.35
30-01-2017,1398,1399.95,1383.1,1389.4,158300,1389.4
31-01-2017,1385,1399.9,1382.4,1395.5,154900,1395.5
01-02-2017,1402,1416,1382.35,1412.8,215000,1412.8
02-02-2017,1420,1420,1385.7,1388.75,131000,1388.75
03-02-2017,1389.1,1403,1386,1397.25,84700,1397.25
06-02-2017,1405,1409.95,1392.45,1398.2,127700,1398.2
07-02-2017,1399,1405,1388,1396.55,109200,1396.55
08-02-2017,1396,1421.7,1378.05,1410.95,183100,1410.95
09-02-2017,1411,1420.5,1395.1,1407.1,207100,1407.1
10-02-2017,1408,1415.5,1403,1410.55,95700,1410.55
13-02-2017,1411,1459.5,1409.8,1451.95,225200,1451.95
14-02-2017,1455,1470.95,1442,1456.8,166900,1456.8
15-02-2017,1450,1461.6,1420,1431.45,122900,1431.45
16-02-2017,1431.5,1446,1426.75,1436.2,86200,1436.2
17-02-2017,1436.2,1458.2,1435.15,1440.6,92000,1440.6
20-02-2017,1436,1439.7,1424.55,1429.1,64500,1429.1
21-02-2017,1429.35,1453.4,1429.35,1449.9,78300,1449.9
22-02-2017,1451,1458,1442,1448.3,50500,1448.3
23-02-2017,1445,1455,1440,1444.6,67500,1444.6
24-02-2017,1444.6,1444.6,1444.6,1444.6,0,1444.6
27-02-2017,1444.6,1445,1416,1421.8,77200,1421.8
28-02-2017,1425,1459,1425,1452.8,100500,1452.8
01-03-2017,1453,1466.5,1443.75,1453.7,81900,1453.7
02-03-2017,1455,1460.4,1419.5,1426.4,79000,1426.4
03-03-2017,1418,1440.45,1418,1435.35,61900,1435.35
06-03-2017,1435.3,1464.4,1435.3,1459.55,299900,1459.55
07-03-2017,1462,1465,1440.1,1448.55,41600,1448.55
08-03-2017,1449,1476.65,1449,1471.15,113400,1471.15
09-03-2017,1474.1,1479.7,1462.1,1465.35,138700,1465.35
10-03-2017,1466,1485.95,1466,1480.3,240200,1480.3
13-03-2017,1480.3,1480.3,1480.3,1480.3,0,1480.3
14-03-2017,1520,1537.85,1516,1531.85,199300,1531.85
15-03-2017,1530,1535,1518.5,1530.5,74700,1530.5
16-03-2017,1532,1546.6,1520,1528.7,236500,1528.7
17-03-2017,1533,1537.5,1504.5,1508.05,337900,1508.05
20-03-2017,1515.1,1523.45,1507.5,1513.3,180300,1513.3
21-03-2017,1525,1525,1471,1486.8,177700,1486.8
22-03-2017,1475,1476.5,1460,1470.2,98100,1470.2
23-03-2017,1476.25,1520.4,1462.5,1516.05,305100,1516.05
24-03-2017,1540,1543.9,1525.1,1528.9,265500,1528.9
27-03-2017,1540,1541.75,1520.3,1527.85,111500,1527.85
28-03-2017,1530,1539.95,1527.1,1535.3,891900,1535.3
29-03-2017,1534.9,1554.9,1528.25,1544.65,106900,1544.65
30-03-2017,1545,1557.8,1540.5,1551.95,458800,1551.95
31-03-2017,1550,1557.85,1535.5,1549.1,155700,1549.1
03-04-2017,1548,1555,1535.8,1538.85,60900,1538.85
04-04-2017,1538.85,1538.85,1538.85,1538.85,0,1538.85
05-04-2017,1540,1569.85,1536.4,1566.9,107900,1566.9
